,open,high,low,close,adjclose,volume,ticker
1993-02-23,8.0,8.125,7.65625,7.75,3.6217727661132812,40594800,MS
1993-02-24,7.875,8.0625,7.78125,7.96875,3.7240002155303955,9426400,MS
1993-02-25,8.0,8.15625,7.96875,8.15625,3.8116228580474854,5229200,MS
1993-02-26,8.15625,8.28125,8.03125,8.28125,3.870037078857422,2761200,MS
1993-03-01,8.1875,8.21875,8.0,8.0,3.7386019229888916,3014400,MS
1993-03-02,8.0625,8.25,8.03125,8.21875,3.840831756591797,3022800,MS
1993-03-03,8.1875,8.3125,8.125,8.1875,3.8262267112731934,2808800,MS
1993-03-04,8.15625,8.25,8.15625,8.15625,3.8116228580474854,1783600,MS
1993-03-05,8.125,8.34375,8.0,8.3125,3.884641408920288,3868800,MS
1993-03-08,8.25,8.3125,8.1875,8.28125,3.870037078857422,2516000,MS
1993-03-09,8.25,8.625,8.25,8.53125,3.9868714809417725,2449200,MS
1993-03-10,8.46875,8.90625,8.4375,8.875,4.147514343261719,3192800,MS
1993-03-11,8.96875,8.96875,8.78125,8.875,4.147514343261719,1276400,MS
1993-03-12,8.8125,9.0625,8.5,9.03125,4.2205328941345215,2958800,MS
1993-03-15,9.0,9.0,8.8125,8.875,4.147514343261719,1858400,MS
1993-03-16,8.8125,8.90625,8.65625,8.6875,4.059890270233154,2182000,MS
1993-03-17,8.6875,8.78125,8.59375,8.78125,4.103700160980225,2413600,MS
1993-03-18,8.75,9.03125,8.75,9.0,4.205928325653076,1765200,MS
1993-03-19,9.0625,9.0625,8.90625,8.90625,4.162117004394531,2397600,MS
1993-03-22,8.9375,8.9375,8.78125,8.875,4.147514343261719,729200,MS
1993-03-23,8.875,8.875,8.6875,8.6875,4.059890270233154,924000,MS
1993-03-24,8.6875,8.6875,8.34375,8.59375,4.01607608795166,1787600,MS
1993-03-25,8.53125,8.59375,8.40625,8.59375,4.01607608795166,1080400,MS
1993-03-26,8.875,9.15625,8.84375,9.15625,4.278947830200195,2376800,MS
1993-03-29,9.09375,9.25,8.9375,9.25,4.322760581970215,1273600,MS
1993-03-30,9.375,9.59375,9.28125,9.59375,4.483404159545898,1463600,MS
1993-03-31,9.625,9.8125,9.5625,9.59375,4.483404159545898,1856000,MS
1993-04-01,9.46875,9.5,9.1875,9.25,4.322760581970215,1410000,MS
1993-04-02,9.125,9.28125,8.90625,8.90625,4.162117004394531,1338800,MS
1993-04-05,8.875,9.09375,8.875,9.0625,4.235135078430176,873200,MS
1993-04-06,9.09375,9.125,8.9375,8.9375,4.176719665527344,763200,MS
1993-04-07,8.90625,9.09375,8.90625,9.0625,4.235135078430176,240400,MS
1993-04-08,9.0625,9.0625,9.0,9.03125,4.2205328941345215,304000,MS
1993-04-12,9.03125,9.25,9.03125,9.25,4.322760581970215,217600,MS
1993-04-13,9.375,9.59375,9.375,9.53125,4.454195022583008,937600,MS
1993-04-14,9.53125,9.8125,9.53125,9.78125,4.571027755737305,689600,MS
1993-04-15,9.65625,9.65625,9.25,9.375,4.38117790222168,1319600,MS
1993-04-16,9.4375,9.5,9.3125,9.34375,4.366570472717285,1452400,MS
1993-04-19,9.28125,9.34375,9.09375,9.125,4.264347076416016,861600,MS
1993-04-20,9.21875,9.28125,8.65625,8.84375,4.132906913757324,2764000,MS
1993-04-21,8.84375,8.96875,8.71875,8.71875,4.074494361877441,1372800,MS
1993-04-22,8.71875,8.875,8.6875,8.71875,4.074494361877441,1387600,MS
1993-04-23,8.6875,8.71875,8.5,8.59375,4.01607608795166,660400,MS
1993-04-26,8.625,8.6875,8.3125,8.40625,3.9284536838531494,1847200,MS
1993-04-27,8.3125,8.5,8.15625,8.5,3.972266674041748,1674000,MS
1993-04-28,8.5625,8.6875,8.46875,8.65625,4.045285224914551,726800,MS
1993-04-29,8.65625,8.71875,8.625,8.625,4.030683994293213,228800,MS
1993-04-30,8.65625,9.75,8.65625,9.6875,4.527215957641602,3105600,MS
1993-05-03,9.5,9.5,9.125,9.1875,4.29355525970459,2001200,MS
1993-05-04,9.25,9.3125,9.15625,9.25,4.322760581970215,826000,MS
1993-05-05,9.21875,9.21875,9.125,9.15625,4.278947830200195,512000,MS
1993-05-06,9.15625,9.15625,9.0,9.09375,4.249740123748779,183200,MS
1993-05-07,9.125,9.1875,9.09375,9.125,4.264347076416016,245200,MS
1993-05-10,9.15625,9.3125,9.15625,9.25,4.322760581970215,708800,MS
1993-05-11,9.25,9.25,9.125,9.21875,4.308155536651611,568800,MS
1993-05-12,9.21875,9.28125,9.15625,9.21875,4.308155536651611,258000,MS
1993-05-13,9.15625,9.15625,9.0,9.0,4.205928325653076,163200,MS
1993-05-14,8.96875,8.96875,8.59375,8.75,4.089099407196045,848000,MS
1993-05-17,8.75,8.96875,8.71875,8.90625,4.162117004394531,382000,MS
1993-05-18,8.875,8.875,8.71875,8.8125,4.1183061599731445,883600,MS
1993-05-19,8.78125,8.96875,8.78125,8.90625,4.162117004394531,514800,MS
1993-05-20,8.96875,8.96875,8.6875,8.75,4.089099407196045,936800,MS
1993-05-21,8.6875,8.6875,8.46875,8.5,3.972266674041748,834000,MS
1993-05-24,8.46875,8.65625,8.4375,8.65625,4.045285224914551,262400,MS
1993-05-25,8.65625,8.6875,8.5625,8.625,4.042356491088867,662400,MS
1993-05-26,8.625,9.1875,8.625,9.15625,4.2913432121276855,659200,MS
1993-05-27,9.125,9.21875,8.75,8.78125,4.115585803985596,1011600,MS
1993-05-28,8.75,8.75,8.53125,8.59375,4.0277099609375,1338800,MS
1993-06-01,8.59375,8.6875,8.59375,8.65625,4.057003021240234,330400,MS
1993-06-02,8.65625,8.75,8.65625,8.71875,4.086296558380127,295600,MS
1993-06-03,8.75,8.75,8.5625,8.5625,4.013064861297607,178800,MS
1993-06-04,8.5,8.625,8.46875,8.46875,3.9691262245178223,211200,MS
1993-06-07,8.46875,8.5,8.40625,8.46875,3.9691262245178223,314400,MS
1993-06-08,8.46875,8.5,8.4375,8.46875,3.9691262245178223,295200,MS
1993-06-09,8.46875,8.59375,8.46875,8.59375,4.0277099609375,341200,MS
1993-06-10,8.59375,8.59375,8.46875,8.5,3.983771562576294,166000,MS
1993-06-11,8.53125,8.59375,8.5,8.5625,4.013064861297607,148000,MS
1993-06-14,8.5625,8.6875,8.5625,8.59375,4.0277099609375,449200,MS
1993-06-15,8.59375,8.59375,8.4375,8.5,3.983771562576294,208800,MS
1993-06-16,8.5,8.8125,8.5,8.75,4.100940227508545,1311600,MS
1993-06-17,8.71875,8.84375,8.71875,8.78125,4.115585803985596,305200,MS
1993-06-18,8.78125,8.78125,8.53125,8.53125,3.998420000076294,1043600,MS
1993-06-21,8.46875,8.5,8.1875,8.46875,3.9691262245178223,2092400,MS
1993-06-22,8.46875,8.46875,8.21875,8.46875,3.9691262245178223,1855600,MS
1993-06-23,8.46875,8.5,8.40625,8.46875,3.9691262245178223,1940400,MS
1993-06-24,8.71875,8.84375,8.625,8.78125,4.115585803985596,2887600,MS
1993-06-25,8.78125,9.09375,8.78125,9.0625,4.247405052185059,1870400,MS
1993-06-28,9.0625,9.75,9.0625,9.6875,4.540326118469238,3107600,MS
1993-06-29,9.5,9.53125,9.25,9.3125,4.364572048187256,2186800,MS
1993-06-30,9.28125,9.375,9.21875,9.375,4.393866539001465,4777600,MS
1993-07-01,9.375,9.375,9.21875,9.25,4.335282325744629,2097200,MS
1993-07-02,9.25,9.34375,9.21875,9.3125,4.364572048187256,932800,MS
1993-07-06,9.25,9.28125,9.1875,9.21875,4.320633888244629,1907600,MS
1993-07-07,9.1875,9.21875,9.09375,9.21875,4.320633888244629,1842000,MS
1993-07-08,9.21875,9.3125,9.15625,9.1875,4.305991172790527,2947200,MS
1993-07-09,9.15625,9.1875,9.03125,9.1875,4.305991172790527,2786000,MS
