,open,high,low,close,adjclose,volume,ticker
1999-06-16,9.0625,9.3125,8.125,8.875,8.484078407287598,5718100,SBAC
1999-06-17,8.75,8.875,7.75,8.6875,8.304840087890625,542200,SBAC
1999-06-18,8.5625,9.125,8.5625,9.0,8.60357666015625,557600,SBAC
1999-06-21,9.0625,9.75,9.0,9.25,8.842561721801758,218000,SBAC
1999-06-22,9.0625,9.5,9.0,9.0625,8.663321495056152,281400,SBAC
1999-06-23,9.0,9.5,9.0,9.375,8.962058067321777,395200,SBAC
1999-06-24,9.375,9.625,9.0,9.125,8.72307014465332,238100,SBAC
1999-06-25,9.125,9.21875,9.0,9.1875,8.782815933227539,172400,SBAC
1999-06-28,9.0,9.375,9.0,9.25,8.842561721801758,81400,SBAC
1999-06-29,9.375,10.25,9.25,9.375,8.962058067321777,321500,SBAC
1999-06-30,9.375,10.125,9.375,9.6875,9.260793685913086,429900,SBAC
1999-07-01,9.8125,10.375,9.5,9.9375,9.499778747558594,363500,SBAC
1999-07-02,10.125,10.875,10.125,10.875,10.395986557006836,460800,SBAC
1999-07-06,10.875,11.0,10.5,10.6875,10.216745376586914,565900,SBAC
1999-07-07,10.6875,11.125,10.375,10.875,10.395986557006836,270500,SBAC
1999-07-08,11.75,13.0,11.375,12.25,11.710420608520508,1793800,SBAC
1999-07-09,12.25,13.75,12.1875,13.5,12.905362129211426,1738400,SBAC
1999-07-12,14.0,15.375,13.625,14.8125,14.160049438476562,5465000,SBAC
1999-07-13,15.3125,15.3125,12.625,13.375,12.785865783691406,2568600,SBAC
1999-07-14,13.75,13.75,11.875,13.375,12.785865783691406,970700,SBAC
1999-07-15,13.8125,14.0,12.75,13.125,12.546878814697266,572700,SBAC
1999-07-16,13.375,14.25,13.1875,14.0,13.383336067199707,793100,SBAC
1999-07-19,14.25,14.375,13.5,14.0,13.383336067199707,336500,SBAC
1999-07-20,14.0,14.0625,12.5,12.9375,12.367637634277344,324300,SBAC
1999-07-21,13.0,13.3125,12.5,12.5,11.949407577514648,237600,SBAC
1999-07-22,12.75,12.75,11.875,12.0,11.471433639526367,165100,SBAC
1999-07-23,12.125,12.25,11.0,11.5,10.993454933166504,178500,SBAC
1999-07-26,11.5,11.5,9.75,10.375,9.918008804321289,363400,SBAC
1999-07-27,10.40625,10.875,9.875,10.375,9.918008804321289,312600,SBAC
1999-07-28,10.5625,11.875,10.25,11.25,10.754467964172363,176700,SBAC
1999-07-29,11.0,11.75,10.5625,11.375,10.87396240234375,165400,SBAC
1999-07-30,11.375,12.0625,10.5,11.125,10.634974479675293,237500,SBAC
1999-08-02,11.5,13.25,10.875,11.25,10.754467964172363,503900,SBAC
1999-08-03,11.75,12.5,11.625,12.125,11.590928077697754,265300,SBAC
1999-08-04,12.0,12.0625,11.25,11.5,10.993454933166504,186900,SBAC
1999-08-05,11.375,11.625,10.25,11.625,11.112950325012207,188600,SBAC
1999-08-06,11.5,11.5,10.5,11.0,10.515478134155273,77400,SBAC
1999-08-09,11.0625,11.4375,9.875,10.0,9.559527397155762,105900,SBAC
1999-08-10,9.875,10.25,9.0625,9.15625,8.752941131591797,369700,SBAC
1999-08-11,9.5,10.0,9.125,9.875,9.440032005310059,351000,SBAC
1999-08-12,10.4375,11.5,10.0,10.9375,10.455732345581055,413900,SBAC
1999-08-13,11.375,11.625,10.625,11.0,10.515478134155273,275600,SBAC
1999-08-16,11.25,11.25,10.75,10.875,10.395986557006836,98900,SBAC
1999-08-17,11.0,11.5,10.875,11.5,10.993454933166504,149100,SBAC
1999-08-18,11.5,11.625,10.9375,10.9375,10.455732345581055,100300,SBAC
1999-08-19,10.96875,11.3125,10.75,11.125,10.634974479675293,39200,SBAC
1999-08-20,11.25,11.375,11.0,11.25,10.754467964172363,42400,SBAC
1999-08-23,11.4375,11.5,10.875,10.9375,10.455732345581055,65000,SBAC
1999-08-24,11.25,11.25,10.625,11.125,10.634974479675293,108000,SBAC
1999-08-25,10.875,11.25,10.875,11.0,10.515478134155273,112800,SBAC
1999-08-26,11.09375,11.09375,10.75,10.9375,10.455732345581055,135500,SBAC
1999-08-27,10.9375,11.0625,10.625,10.9375,10.455732345581055,434800,SBAC
1999-08-30,11.0,11.25,10.875,11.0,10.515478134155273,88500,SBAC
1999-08-31,11.0,11.4375,10.8125,11.4375,10.933709144592285,153000,SBAC
1999-09-01,11.4375,11.9375,11.125,11.25,10.754467964172363,87000,SBAC
1999-09-02,11.25,11.375,10.8125,11.0625,10.575227737426758,80800,SBAC
1999-09-03,11.21875,11.75,11.0,11.75,11.232442855834961,91900,SBAC
1999-09-07,12.0,12.0625,11.25,11.3125,10.814213752746582,58300,SBAC
1999-09-08,11.375,11.4375,11.25,11.375,10.87396240234375,96100,SBAC
1999-09-09,11.40625,12.625,11.3125,12.5,11.949407577514648,179900,SBAC
1999-09-10,12.5,13.5,12.3125,12.5625,12.009156227111816,249300,SBAC
1999-09-13,12.8125,12.9375,11.8125,12.4375,11.889662742614746,363900,SBAC
1999-09-14,12.5,13.0,12.25,13.0,12.427384376525879,238300,SBAC
1999-09-15,12.9375,13.5,12.875,13.375,12.785865783691406,271500,SBAC
1999-09-16,13.71875,13.75,13.125,13.1875,12.606626510620117,159600,SBAC
1999-09-17,13.3125,13.75,13.125,13.75,13.1443510055542,199700,SBAC
1999-09-20,13.6875,13.6875,12.5,12.9375,12.367637634277344,90500,SBAC
1999-09-21,12.84375,13.1875,12.375,12.625,12.068903923034668,129200,SBAC
1999-09-22,12.71875,13.5625,12.6875,13.4375,12.845613479614258,92200,SBAC
1999-09-23,13.0625,13.5,12.625,12.8125,12.248144149780273,146000,SBAC
1999-09-24,12.875,13.0,12.25,12.375,11.829915046691895,148000,SBAC
1999-09-27,12.71875,13.25,12.0,12.6875,12.128650665283203,127500,SBAC
1999-09-28,12.09375,12.6875,11.75,12.25,11.710420608520508,85200,SBAC
1999-09-29,12.0,12.125,11.25,11.25,10.754467964172363,160200,SBAC
1999-09-30,11.5,11.625,10.0,10.875,10.395986557006836,134900,SBAC
1999-10-01,10.5,11.0625,10.5,10.9375,10.455732345581055,113100,SBAC
1999-10-04,10.96875,11.125,10.875,11.0,10.515478134155273,146400,SBAC
1999-10-05,11.03125,11.5,10.25,10.3125,9.858261108398438,64900,SBAC
1999-10-06,11.0,11.375,10.625,10.9375,10.455732345581055,90800,SBAC
1999-10-07,11.0,11.0625,10.5625,10.625,10.156997680664062,69800,SBAC
1999-10-08,10.6875,11.125,10.625,11.0,10.515478134155273,54200,SBAC
1999-10-11,10.9375,11.0,10.625,10.75,10.276491165161133,25400,SBAC
1999-10-12,10.75,10.9375,10.0625,10.25,9.798516273498535,54600,SBAC
1999-10-13,10.59375,10.59375,10.0,10.0,9.559527397155762,37900,SBAC
1999-10-14,10.1875,10.4375,10.0,10.375,9.918008804321289,204700,SBAC
1999-10-15,10.1875,10.5,9.4375,10.0,9.559527397155762,140700,SBAC
1999-10-18,9.78125,11.0,9.5625,11.0,10.515478134155273,98700,SBAC
1999-10-19,10.71875,11.0625,10.25,10.4375,9.97775650024414,121200,SBAC
1999-10-20,10.5625,10.875,9.6875,9.6875,9.260793685913086,47400,SBAC
1999-10-21,9.65625,10.75,9.5,10.125,9.679020881652832,52100,SBAC
1999-10-22,10.4375,10.625,9.75,10.0,9.559527397155762,17800,SBAC
1999-10-25,10.0,10.1875,9.75,9.75,9.320537567138672,26400,SBAC
1999-10-26,10.0,10.25,9.875,10.0625,9.61927318572998,39700,SBAC
1999-10-27,10.125,10.125,9.9375,10.0,9.559527397155762,27800,SBAC
1999-10-28,10.0,10.0,9.5,9.9375,9.499778747558594,109400,SBAC
1999-10-29,10.0,10.5,9.5625,9.75,9.320537567138672,47900,SBAC
1999-11-01,9.890625,10.0,9.5,9.625,9.201045989990234,58100,SBAC
1999-11-02,9.6875,10.25,9.625,9.625,9.201045989990234,68900,SBAC
1999-11-03,9.75,10.0,9.5,9.5,9.081550598144531,191200,SBAC
1999-11-04,10.0,10.125,9.5,9.875,9.440032005310059,123900,SBAC
1999-11-05,9.875,10.0,9.625,9.875,9.440032005310059,184800,SBAC
1999-11-08,9.9375,10.625,9.875,10.625,10.156997680664062,218000,SBAC
1999-11-09,10.40625,12.0,10.25,12.0,11.471433639526367,170600,SBAC
1999-11-10,11.75,13.4375,11.5,13.25,12.666376113891602,439400,SBAC
1999-11-11,13.125,17.75,13.125,14.875,14.219796180725098,2641000,SBAC
1999-11-12,15.0,15.0625,11.5,12.25,11.710420608520508,883700,SBAC
1999-11-15,12.75,13.0,12.1875,12.25,11.710420608520508,203400,SBAC
1999-11-16,12.375,12.5,11.75,11.875,11.35193920135498,186100,SBAC
1999-11-17,11.40625,12.4375,10.875,12.0625,11.531180381774902,273100,SBAC
1999-11-18,11.84375,12.3125,11.375,12.0,11.471433639526367,353300,SBAC
1999-11-19,12.3125,12.625,11.9375,12.0,11.471433639526367,425600,SBAC
1999-11-22,12.28125,12.375,11.6875,12.0625,11.531180381774902,241800,SBAC
1999-11-23,11.90625,12.0,11.3125,11.5,10.993454933166504,120600,SBAC
1999-11-24,10.84375,11.375,10.75,11.1875,10.694720268249512,254300,SBAC
1999-11-26,11.1875,12.5625,11.0,11.25,10.754467964172363,138800,SBAC
1999-11-29,11.25,11.375,10.75,11.25,10.754467964172363,398300,SBAC
1999-11-30,11.4375,12.0,11.1875,11.5,10.993454933166504,123500,SBAC
