Date,Quarterly Net Income
2024-04-30,1722.0
2024-01-31,2019.0
2023-10-31,2004.0
2023-07-31,1560.0
2023-04-30,1575.0
2023-01-31,1717.0
2022-10-31,1591.0
2022-07-31,1606.0
2022-04-30,1536.0
2022-01-31,1792.0
2021-10-31,1712.0
2021-07-31,1716.0
2021-04-30,1330.0
2021-01-31,1130.0
2020-10-31,1131.0
2020-07-31,841.0
2020-04-30,755.0
2020-01-31,892.0
2019-10-31,698.0
2019-07-31,571.0
2019-04-30,666.0
2019-01-31,771.0
2018-10-31,757.0
2018-07-31,1016.0
2018-04-30,1100.0
2018-01-31,165.0
2017-10-31,1067.0
2017-07-31,925.0
2017-04-30,824.0
2017-01-31,703.0
2016-10-31,610.0
2016-07-31,505.0
2016-04-30,320.0
2016-01-31,286.0
2015-10-31,336.0
2015-07-31,329.0
2015-04-30,364.0
2015-01-31,348.0
2014-10-31,256.0
2014-07-31,301.0
2014-04-30,262.0
2014-01-31,253.0
2013-10-31,183.0
2013-07-31,168.0
2013-04-30,-129.0
2013-01-31,34.0
2012-10-31,-515.0
2012-07-31,218.0
2012-04-30,289.0
2012-01-31,117.0
2011-10-31,455.0
2011-07-31,476.0
2011-04-30,489.0
2011-01-31,506.0
2010-10-31,468.0
2010-07-31,123.0
2010-04-30,264.0
2010-01-31,83.0
2009-10-31,138.0
2009-07-31,-55.0
2009-04-30,-255.0
2009-01-31,-133.0
