Date,Quarterly Net Income
2024-04-30,382.0
2024-01-31,326.0
2023-10-31,333.0
2023-07-31,348.0
2023-04-30,350.0
2023-01-31,294.0
2022-10-31,246.0
2022-07-31,264.0
2022-04-30,279.0
2022-01-31,287.0
2021-10-31,260.0
2021-07-31,256.0
2021-04-30,287.0
2021-01-31,193.0
2020-10-31,200.0
2020-07-31,166.0
2020-04-30,147.0
2020-01-31,169.0
2019-10-31,218.0
2019-07-31,153.0
2019-04-30,193.0
2019-01-31,131.0
2018-10-31,114.0
2018-07-31,110.0
2018-04-30,127.0
2018-01-31,103.0
2017-10-31,78.0
2017-07-31,70.0
2017-04-30,91.0
2017-01-31,66.0
2016-10-31,167.0
2016-07-31,84.0
2016-04-30,75.0
2016-01-31,59.0
2015-10-31,53.0
2015-07-31,57.0
2015-04-30,58.0
2015-01-31,52.0
2014-10-31,53.0
2014-07-31,51.0
2014-04-30,41.0
2014-01-31,45.0
2013-10-31,41.0
2013-07-31,41.0
2013-04-30,53.0
2013-01-31,40.0
2012-10-31,46.0
2012-07-31,45.0
2012-04-30,55.0
2012-01-31,41.0
2011-10-31,41.0
2011-07-31,41.0
2011-04-30,50.0
2011-01-31,38.0
2010-10-31,38.0
2010-07-31,36.0
2010-04-30,44.0
2010-01-31,36.0
2009-10-31,35.0
2009-07-31,35.0
2009-04-30,42.0
2009-01-31,27.0
