Fortinet PE Ratio Historical Data,Fortinet PE Ratio Historical Data,Fortinet PE Ratio Historical Data,Fortinet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,61.35,,40.1
2024-03-31,68.31,$1.53,44.65
2023-12-31,58.53,$1.45,40.37
2023-09-30,58.68,$1.45,40.47
2023-06-30,75.59,$1.33,56.83
2023-03-31,66.46,$1.21,54.93
2022-12-31,48.89,$1.07,45.78
2022-09-30,49.13,$0.91,54.23
2022-06-30,56.58,$0.81,69.85
2022-03-31,68.35,$0.76,89.46
2021-12-31,71.88,$0.72,99.28
2021-09-30,58.41,$0.66,87.96
2021-06-30,47.64,$0.62,76.84
2021-03-31,36.88,$0.59,62.3
2020-12-31,29.71,$0.58,50.87
2020-09-30,23.56,$0.54,43.8
2020-06-30,27.45,$0.48,57.2
2020-03-31,20.23,$0.43,47.28
2019-12-31,21.35,$0.38,56.79
2019-09-30,15.35,$0.45,33.96
2019-06-30,15.37,$0.43,36.07
2019-03-31,16.79,$0.40,42.2
2018-12-31,14.09,$0.38,37.26
2018-09-30,18.45,$0.14,135.69
2018-06-30,12.49,$0.10,124.86
2018-03-31,10.72,$0.07,153.09
2017-12-31,8.74,$0.03,257.0
2017-09-30,7.17,$0.10,74.67
2017-06-30,7.49,$0.07,101.19
2017-03-31,7.67,$0.05,166.74
2016-12-31,6.02,$0.03,200.8
2016-09-30,7.39,0,0.0
2016-06-30,6.32,$0.00,0.0
2016-03-31,6.13,$0.00,0.0
2015-12-31,6.23,$0.01,623.4
2015-09-30,8.5,$0.02,424.8
2015-06-30,8.27,$0.01,590.43
2015-03-31,6.99,$0.02,317.73
2014-12-31,6.13,$0.03,204.4
2014-09-30,5.05,$0.04,140.36
2014-06-30,5.03,$0.05,109.26
2014-03-31,4.41,$0.05,91.79
2013-12-31,3.83,$0.05,73.58
2013-09-30,4.05,$0.06,63.31
2013-06-30,3.5,$0.07,50.0
2013-03-31,4.74,$0.08,62.32
2012-12-31,4.2,$0.08,52.55
2012-09-30,4.82,$0.07,65.19
2012-06-30,4.64,$0.08,61.11
2012-03-31,5.53,$0.08,70.9
2011-12-31,4.36,$0.08,56.65
2011-09-30,3.36,$0.08,43.64
2011-06-30,5.46,$0.07,74.77
2011-03-31,4.42,$0.06,72.38
2010-12-31,3.24,$0.11,30.52
2010-09-30,2.5,$0.10,26.32
