Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data,Microsoft PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,430.16,,37.24
2024-03-31,419.98,$11.55,36.36
2023-12-31,374.69,$11.06,33.88
2023-09-30,313.98,$10.33,30.39
2023-06-30,337.91,$9.69,34.87
2023-03-31,285.46,$9.23,30.93
2022-12-31,236.86,$9.00,26.32
2022-09-30,229.38,$9.28,24.72
2022-06-30,252.41,$9.64,26.18
2022-03-31,302.26,$9.58,31.55
2021-12-31,329.04,$9.39,35.04
2021-09-30,275.32,$8.94,30.8
2021-06-30,264.05,$7.69,34.34
2021-03-31,229.28,$6.92,33.13
2020-12-31,215.8,$6.40,33.72
2020-06-30,196.45,$5.75,34.17
2020-03-31,151.82,$6.00,25.3
2019-12-31,151.4,$6.42,23.58
2019-09-30,133.02,$6.05,21.99
2019-06-30,128.17,$5.75,22.29
2020-09-30,203.53,$5.18,39.29
2019-03-31,112.43,$4.50,24.99
2018-12-31,96.42,$4.31,22.37
2018-09-30,108.09,$2.41,44.85
2018-06-30,92.83,$2.11,44.0
2018-03-31,85.55,$1.80,47.53
2017-12-31,79.81,$1.46,54.67
2017-09-30,69.15,$2.94,23.52
2017-06-30,63.65,$2.70,23.58
2017-03-31,60.48,$2.26,26.76
2016-12-31,56.72,$2.12,26.75
2016-09-30,52.23,$2.08,25.11
2016-06-30,46.11,$2.05,22.49
2016-03-31,49.42,$1.26,39.22
2015-12-31,49.29,$1.40,35.21
2015-09-30,39.01,$1.49,26.18
2015-06-30,38.71,$1.46,26.51
2015-03-31,35.41,$2.41,14.69
2014-12-31,40.17,$2.48,16.2
2014-09-30,39.84,$2.55,15.62
2014-06-30,35.62,$2.63,13.54
2014-03-31,34.77,$2.67,13.02
2013-12-31,31.5,$2.71,11.62
2013-09-30,27.81,$2.69,10.34
2013-06-30,28.66,$2.60,11.02
2013-03-31,23.57,$1.95,12.09
2012-12-31,21.83,$1.83,11.93
2012-09-30,24.12,$1.85,13.04
2012-06-30,24.63,$2.00,12.31
2012-03-31,25.8,$2.75,9.38
2011-12-31,20.63,$2.76,7.47
2011-09-30,19.63,$2.75,7.14
2011-06-30,20.38,$2.69,7.58
2011-03-31,19.77,$2.51,7.88
2010-12-31,21.6,$2.35,9.19
2010-09-30,18.84,$2.32,8.12
2010-06-30,17.61,$2.10,8.39
2010-03-31,22.31,$1.93,11.56
2009-12-31,23.11,$1.81,12.77
