ASML Holding Quarterly Revenue (Millions of US $),ASML Holding Quarterly Revenue (Millions of US $).1
2024-03-31,"$5,743"
2023-12-31,"$7,826"
2023-09-30,"$7,263"
2023-06-30,"$7,496"
2023-03-31,"$7,241"
2022-12-31,"$6,735"
2022-09-30,"$5,820"
2022-06-30,"$5,787"
2022-03-31,"$3,966"
2021-12-31,"$5,733"
2021-09-30,"$6,181"
2021-06-30,"$4,844"
2021-03-31,"$5,261"
2020-12-31,"$4,986"
2020-09-30,"$4,627"
2020-06-30,"$3,662"
2020-03-31,"$2,692"
2019-12-31,"$4,499"
2019-09-30,"$3,321"
2019-06-30,"$2,886"
2019-03-31,"$2,532"
2018-12-31,"$3,620"
2018-09-30,"$3,228"
2018-06-30,"$3,268"
2018-03-31,"$2,809"
2017-12-31,"$2,973"
2017-09-30,"$2,876"
2017-06-30,"$2,312"
2017-03-31,"$2,071"
2016-12-31,"$2,059"
2016-09-30,"$2,024"
2016-06-30,"$1,965"
2016-03-31,"$1,471"
2015-12-31,"$1,566"
2015-09-30,"$1,724"
2015-06-30,"$1,830"
2015-03-31,"$1,862"
2014-12-31,"$1,730"
2014-09-30,"$1,754"
2014-06-30,"$2,235"
2014-03-31,"$1,533"
2013-12-31,"$2,503"
2013-09-30,"$1,784"
2013-06-30,"$1,555"
2013-03-31,"$1,176"
2012-12-31,"$1,360"
2012-09-30,"$1,608"
2012-06-30,"$1,508"
2012-03-31,"$1,644"
2011-12-31,"$1,549"
2011-09-30,"$1,985"
2011-06-30,"$2,137"
2011-03-31,"$2,098"
2010-12-31,"$2,031"
2010-09-30,"$1,517"
2010-06-30,"$1,350"
2010-03-31,"$1,008"
2009-12-31,$833
2009-09-30,$793
2009-06-30,$387
2009-03-31,$244
