Linde Quarterly Revenue (Millions of US $),Linde Quarterly Revenue (Millions of US $).1
2024-03-31,"$8,100"
2023-12-31,"$8,302"
2023-09-30,"$8,155"
2023-06-30,"$8,204"
2023-03-31,"$8,193"
2022-12-31,"$7,899"
2022-09-30,"$8,797"
2022-06-30,"$8,457"
2022-03-31,"$8,211"
2021-12-31,"$8,298"
2021-09-30,"$7,668"
2021-06-30,"$7,584"
2021-03-31,"$7,243"
2020-12-31,"$7,272"
2020-09-30,"$6,855"
2020-06-30,"$6,377"
2020-03-31,"$6,739"
2019-12-31,"$7,080"
2019-09-30,"$7,000"
2019-06-30,"$7,204"
2019-03-31,"$6,944"
2018-12-31,"$5,801"
2018-09-30,"$3,008"
2018-06-30,"$3,044"
2018-03-31,"$2,983"
2017-12-31,"$2,874"
2017-09-30,"$2,922"
2017-06-30,"$2,834"
2017-03-31,"$2,728"
2016-12-31,"$2,644"
2016-09-30,"$2,716"
2016-06-30,"$2,665"
2016-03-31,"$2,509"
2015-12-31,"$2,595"
2015-09-30,"$2,686"
2015-06-30,"$2,738"
2015-03-31,"$2,757"
2014-12-31,"$2,990"
2014-09-30,"$3,144"
2014-06-30,"$3,113"
2014-03-31,"$3,026"
2013-12-31,"$3,010"
2013-09-30,"$3,013"
2013-06-30,"$3,014"
2013-03-31,"$2,888"
2012-12-31,"$2,799"
2012-09-30,"$2,774"
2012-06-30,"$2,811"
2012-03-31,"$2,840"
2011-12-31,"$2,796"
2011-09-30,"$2,896"
2011-06-30,"$2,858"
2011-03-31,"$2,702"
2010-12-31,"$2,623"
2010-09-30,"$2,538"
2010-06-30,"$2,527"
2010-03-31,"$2,428"
2009-12-31,"$2,407"
2009-09-30,"$2,288"
2009-06-30,"$2,138"
2009-03-31,"$2,123"
