O'Reilly Automotive Quarterly Revenue (Millions of US $),O'Reilly Automotive Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,976"
2023-12-31,"$3,832"
2023-09-30,"$4,203"
2023-06-30,"$4,069"
2023-03-31,"$3,708"
2022-12-31,"$3,644"
2022-09-30,"$3,799"
2022-06-30,"$3,671"
2022-03-31,"$3,296"
2021-12-31,"$3,291"
2021-09-30,"$3,480"
2021-06-30,"$3,466"
2021-03-31,"$3,091"
2020-12-31,"$2,829"
2020-09-30,"$3,208"
2020-06-30,"$3,092"
2020-03-31,"$2,476"
2019-12-31,"$2,483"
2019-09-30,"$2,667"
2019-06-30,"$2,590"
2019-03-31,"$2,411"
2018-12-31,"$2,315"
2018-09-30,"$2,483"
2018-06-30,"$2,456"
2018-03-31,"$2,283"
2017-12-31,"$2,191"
2017-09-30,"$2,340"
2017-06-30,"$2,291"
2017-03-31,"$2,156"
2016-12-31,"$2,099"
2016-09-30,"$2,221"
2016-06-30,"$2,177"
2016-03-31,"$2,096"
2015-12-31,"$1,949"
2015-09-30,"$2,080"
2015-06-30,"$2,036"
2015-03-31,"$1,902"
2014-12-31,"$1,764"
2014-09-30,"$1,877"
2014-06-30,"$1,847"
2014-03-31,"$1,728"
2013-12-31,"$1,621"
2013-09-30,"$1,728"
2013-06-30,"$1,715"
2013-03-31,"$1,585"
2012-12-31,"$1,488"
2012-09-30,"$1,602"
2012-06-30,"$1,563"
2012-03-31,"$1,529"
2011-12-31,"$1,391"
2011-09-30,"$1,535"
2011-06-30,"$1,479"
2011-03-31,"$1,383"
2010-12-31,"$1,310"
2010-09-30,"$1,426"
2010-06-30,"$1,381"
2010-03-31,"$1,280"
2009-12-31,"$1,174"
2009-09-30,"$1,258"
2009-06-30,"$1,251"
2009-03-31,"$1,164"
