Applied Materials Quarterly Revenue (Millions of US $),Applied Materials Quarterly Revenue (Millions of US $).1
2024-04-30,"$6,646"
2024-01-31,"$6,707"
2023-10-31,"$6,723"
2023-07-31,"$6,425"
2023-04-30,"$6,630"
2023-01-31,"$6,739"
2022-10-31,"$6,749"
2022-07-31,"$6,520"
2022-04-30,"$6,245"
2022-01-31,"$6,271"
2021-10-31,"$6,123"
2021-07-31,"$6,196"
2021-04-30,"$5,582"
2021-01-31,"$5,162"
2020-10-31,"$4,688"
2020-07-31,"$4,395"
2020-04-30,"$3,957"
2020-01-31,"$4,162"
2019-10-31,"$3,754"
2019-07-31,"$3,562"
2019-04-30,"$3,539"
2019-01-31,"$3,753"
2018-10-31,"$3,759"
2018-07-31,"$4,162"
2018-04-30,"$4,579"
2018-01-31,"$4,205"
2017-10-31,"$4,130"
2017-07-31,"$3,744"
2017-04-30,"$3,546"
2017-01-31,"$3,278"
2016-10-31,"$3,297"
2016-07-31,"$2,821"
2016-04-30,"$2,450"
2016-01-31,"$2,257"
2015-10-31,"$2,368"
2015-07-31,"$2,490"
2015-04-30,"$2,442"
2015-01-31,"$2,359"
2014-10-31,"$2,264"
2014-07-31,"$2,265"
2014-04-30,"$2,353"
2014-01-31,"$2,190"
2013-10-31,"$1,988"
2013-07-31,"$1,975"
2013-04-30,"$1,973"
2013-01-31,"$1,573"
2012-10-31,"$1,646"
2012-07-31,"$2,343"
2012-04-30,"$2,541"
2012-01-31,"$2,189"
2011-10-31,"$2,182"
2011-07-31,"$2,787"
2011-04-30,"$2,862"
2011-01-31,"$2,686"
2010-10-31,"$2,886"
2010-07-31,"$2,518"
2010-04-30,"$2,296"
2010-01-31,"$1,849"
2009-10-31,"$1,527"
2009-07-31,"$1,134"
2009-04-30,"$1,020"
2009-01-31,"$1,333"
