QUALCOMM Quarterly Revenue (Millions of US $),QUALCOMM Quarterly Revenue (Millions of US $).1
2024-03-31,"$9,389"
2023-12-31,"$9,935"
2023-09-30,"$8,631"
2023-06-30,"$8,451"
2023-03-31,"$9,275"
2022-12-31,"$9,463"
2022-09-30,"$11,395"
2022-06-30,"$10,936"
2022-03-31,"$11,164"
2021-12-31,"$10,705"
2021-09-30,"$9,336"
2021-06-30,"$8,060"
2021-03-31,"$7,935"
2020-12-31,"$8,235"
2020-09-30,"$8,345"
2020-06-30,"$4,893"
2020-03-31,"$5,216"
2019-12-31,"$5,077"
2019-09-30,"$4,814"
2019-06-30,"$9,635"
2019-03-31,"$4,982"
2018-12-31,"$4,842"
2018-09-30,"$5,779"
2018-06-30,"$5,577"
2018-03-31,"$5,220"
2017-12-31,"$6,035"
2017-09-30,"$5,872"
2017-06-30,"$5,371"
2017-03-31,"$5,016"
2016-12-31,"$5,999"
2016-09-30,"$6,184"
2016-06-30,"$6,044"
2016-03-31,"$5,551"
2015-12-31,"$5,775"
2015-09-30,"$5,456"
2015-06-30,"$5,832"
2015-03-31,"$6,894"
2014-12-31,"$7,099"
2014-09-30,"$6,692"
2014-06-30,"$6,806"
2014-03-31,"$6,367"
2013-12-31,"$6,622"
2013-09-30,"$6,481"
2013-06-30,"$6,243"
2013-03-31,"$6,124"
2012-12-31,"$6,018"
2012-09-30,"$4,871"
2012-06-30,"$4,626"
2012-03-31,"$4,943"
2011-12-31,"$4,681"
2011-09-30,"$4,116"
2011-06-30,"$3,623"
2011-03-31,"$3,870"
2010-12-31,"$3,348"
2010-09-30,"$2,949"
2010-06-30,"$2,700"
2010-03-31,"$2,663"
2009-12-31,"$2,670"
2009-09-30,"$2,662"
2009-06-30,"$2,753"
2009-03-31,"$2,455"
