Keurig Dr Pepper Quarterly Revenue (Millions of US $),Keurig Dr Pepper Quarterly Revenue (Millions of US $).1
2024-03-31,"$3,468"
2023-12-31,"$3,867"
2023-09-30,"$3,805"
2023-06-30,"$3,789"
2023-03-31,"$3,353"
2022-12-31,"$3,803"
2022-09-30,"$3,622"
2022-06-30,"$3,554"
2022-03-31,"$3,078"
2021-12-31,"$3,391"
2021-09-30,"$3,250"
2021-06-30,"$3,140"
2021-03-31,"$2,902"
2020-12-31,"$3,121"
2020-09-30,"$3,020"
2020-06-30,"$2,864"
2020-03-31,"$2,613"
2019-12-31,"$2,934"
2019-09-30,"$2,870"
2019-06-30,"$2,812"
2019-03-31,"$2,504"
2018-12-31,"$2,813"
2018-09-30,"$2,732"
2018-06-30,$949
2018-03-31,$948
2017-12-31,"$2,243"
2017-09-30,"$1,140"
2017-06-30,"$1,797"
2017-03-31,"$1,510"
2016-12-31,"$1,578"
2016-09-30,"$1,680"
2016-06-30,"$1,695"
2016-03-31,"$1,487"
2015-12-31,"$1,546"
2015-09-30,"$1,630"
2015-06-30,"$1,655"
2015-03-31,"$1,451"
2014-12-31,"$1,509"
2014-09-30,"$1,583"
2014-06-30,"$1,631"
2014-03-31,"$1,398"
2013-12-31,"$1,463"
2013-09-30,"$1,543"
2013-06-30,"$1,611"
2013-03-31,"$1,380"
2012-12-31,"$1,484"
2012-09-30,"$1,528"
2012-06-30,"$1,621"
2012-03-31,"$1,362"
2011-12-31,"$1,461"
2011-09-30,"$1,529"
2011-06-30,"$1,582"
2011-03-31,"$1,331"
2010-12-31,"$1,412"
2010-09-30,"$1,457"
2010-06-30,"$1,519"
2010-03-31,"$1,248"
2009-12-31,"$1,356"
2009-09-30,"$1,434"
2009-06-30,"$1,481"
2009-03-31,"$1,260"
