Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data,Agilent Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,133.25,,25.51
2024-04-30,137.04,$5.22,26.23
2024-01-31,129.89,$5.58,23.27
2023-10-31,103.03,$4.98,20.69
2023-07-31,121.12,$4.79,25.31
2023-04-30,134.46,$3.97,33.9
2023-01-31,150.74,$3.55,42.46
2022-10-31,136.93,$3.40,40.23
2022-07-31,132.5,$3.38,39.22
2022-04-30,117.64,$3.48,33.85
2022-01-31,137.2,$4.18,32.79
2021-10-31,154.89,$4.23,36.63
2021-07-31,150.51,$4.12,36.51
2021-04-30,131.09,$4.05,32.35
2021-01-31,117.7,$3.51,33.55
2020-10-31,99.83,$2.57,38.79
2020-07-31,94.04,$2.33,40.3
2020-04-30,74.68,$2.12,35.27
2020-01-31,80.23,$1.89,42.54
2019-10-31,73.46,$2.72,26.97
2019-07-31,67.16,$2.87,23.38
2019-04-30,75.8,$2.75,27.55
2019-01-31,73.28,$2.86,25.59
2018-10-31,62.28,$2.80,22.22
2018-07-31,63.35,$2.48,25.57
2018-04-30,62.91,$2.53,24.88
2018-01-31,70.1,$2.41,29.1
2017-10-31,64.8,$2.19,29.63
2017-07-31,56.84,$2.03,27.99
2017-04-30,52.22,$1.98,26.32
2017-01-31,46.33,$2.03,22.87
2016-10-31,41.1,$1.99,20.68
2016-07-31,45.28,$2.08,21.78
2016-04-30,38.41,$1.83,20.99
2016-01-31,35.24,$1.65,21.42
2015-10-31,35.25,$1.27,27.72
2015-07-31,38.11,$1.05,36.34
2015-04-30,38.41,$0.70,54.53
2015-01-31,34.98,$1.00,34.88
2014-10-31,36.91,$1.60,23.11
2014-07-31,37.37,$2.24,16.65
2014-04-30,35.92,$2.81,12.76
2014-01-31,38.56,$2.76,13.95
2013-10-31,33.58,$2.85,11.77
2013-07-31,29.52,$2.99,9.88
2013-04-30,27.28,$3.04,8.98
2013-01-31,29.39,$3.17,9.29
2012-10-31,23.56,$2.93,8.04
2012-07-31,25.0,$3.04,8.23
2012-04-30,27.47,$3.10,8.85
2012-01-31,27.6,$3.13,8.8
2011-10-31,24.09,$3.07,7.85
2011-07-31,27.4,$2.72,10.07
2011-04-30,32.44,$2.29,14.15
2011-01-31,27.18,$1.93,14.1
2010-10-31,22.62,$1.71,13.22
2010-07-31,18.15,$1.28,14.14
2010-04-30,23.56,$1.13,20.8
2010-01-31,18.22,$0.87,20.83
2009-10-31,16.08,$0.81,19.8
