Boston Properties Price to Free Cash Flow Ratio Historical Data,Boston Properties Price to Free Cash Flow Ratio Historical Data,Boston Properties Price to Free Cash Flow Ratio Historical Data,Boston Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,61.5,,46.24
2024-03-31,65.31,$1.33,49.11
2023-12-31,69.1,$1.78,38.71
2023-09-30,57.78,$2.81,20.55
2023-06-30,55.04,$2.65,20.76
2023-03-31,50.85,$-1.02,0.0
2022-12-31,62.35,$-0.63,0.0
2022-09-30,68.18,$-0.32,0.0
2022-06-30,79.87,$-1.19,0.0
2022-03-31,114.37,$2.07,55.15
2021-12-31,101.51,$1.04,97.98
2021-09-30,94.69,$0.08,1149.16
2021-06-30,99.27,$1.00,99.12
2021-03-31,86.97,$2.38,36.58
2020-12-31,80.43,$4.19,19.2
2020-09-30,67.61,$3.89,17.37
2020-06-30,75.18,$2.91,25.8
2020-03-31,75.89,$2.07,36.66
2019-12-31,112.26,$0.93,120.32
2019-09-30,104.83,$2.64,39.66
2019-06-30,103.54,$3.58,28.92
2019-03-31,106.67,$2.79,38.24
2018-12-31,89.04,$3.30,26.95
2018-09-30,96.56,$1.32,73.34
2018-06-30,97.62,$1.10,88.39
2018-03-31,95.29,$-0.07,0.0
2017-12-31,99.91,$-0.71,0.0
2017-09-30,93.84,$-0.17,0.0
2017-06-30,93.37,$-0.94,0.0
2017-03-31,99.89,$0.28,350.87
2016-12-31,94.35,$1.29,73.37
2016-09-30,101.61,$2.93,34.64
2016-06-30,97.88,$3.83,25.57
2016-03-31,93.83,$5.38,17.45
2015-12-31,93.69,$5.01,18.72
2015-09-30,85.72,$5.61,15.28
2015-06-30,87.14,$5.79,15.05
2015-03-31,100.6,$4.08,24.64
2014-12-31,91.73,$3.37,27.24
2014-09-30,79.39,$1.15,69.02
2014-06-30,80.59,$2.29,35.15
2014-03-31,77.67,$0.67,115.38
2013-12-31,67.68,$-0.47,0.0
2013-09-30,70.06,$-2.03,0.0
2013-06-30,68.71,$-3.71,0.0
2013-03-31,65.42,$-1.49,0.0
2012-12-31,68.06,$-4.17,0.0
2012-09-30,70.71,$-3.77,0.0
2012-06-30,68.94,$-3.06,0.0
2012-03-31,66.43,$-3.11,0.0
2011-12-31,62.69,$0.87,71.67
2011-09-30,55.77,$-1.51,0.0
2011-06-30,66.09,$-2.32,0.0
2011-03-31,58.77,$-2.94,0.0
2010-12-31,53.06,$-3.39,0.0
2010-09-30,50.93,$-0.35,0.0
2010-06-30,43.46,$0.07,600.24
2010-03-31,45.65,$0.75,61.05
2009-12-31,40.32,$1.33,30.38
