Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,104.9,,13.11
2024-03-31,111.9,$8.00,13.98
2023-12-31,100.35,$13.48,7.45
2023-09-30,85.51,$0.95,90.22
2023-06-30,93.14,$9.34,9.97
2023-03-31,73.97,$5.21,14.2
2022-12-31,74.82,$4.26,17.58
2022-06-30,50.18,$9.91,5.06
2022-03-31,53.92,$6.77,7.97
2021-12-31,48.54,$8.35,5.81
2021-09-30,46.19,$5.05,9.14
2021-06-30,52.79,$11.31,4.67
2022-09-30,64.49,$4.90,13.15
2021-03-31,55.7,$5.44,10.24
2020-12-31,48.72,$10.22,4.77
2020-09-30,42.32,$8.52,4.97
2020-06-30,46.56,$5.42,8.6
2020-03-31,42.37,$6.23,6.8
2019-12-31,44.26,$5.54,7.99
2019-09-30,40.91,$4.50,9.09
2019-06-30,40.42,$7.95,5.08
2019-03-31,40.9,$8.09,5.06
2018-12-31,37.51,$5.55,6.76
2018-09-30,45.42,$5.07,8.97
2018-06-30,40.71,$7.57,5.38
2018-03-31,51.76,$8.21,6.3
2017-12-31,50.22,$5.18,9.69
2017-09-30,54.44,$5.98,9.1
2017-06-30,62.96,$2.49,25.28
2017-03-31,65.5,$1.94,33.8
2016-12-31,57.49,$5.27,10.92
2016-09-30,61.69,$8.01,7.7
2016-06-30,61.57,$7.59,8.11
2016-03-31,64.31,$8.44,7.62
2015-12-31,69.72,$7.78,8.96
2015-09-30,59.74,$6.36,9.39
2015-06-30,64.73,$6.84,9.46
2015-03-31,69.53,$8.59,8.1
2014-12-31,61.95,$6.69,9.26
2014-09-30,57.25,$6.67,8.59
2014-06-30,52.15,$7.21,7.23
2013-12-31,50.35,$5.95,8.46
2013-09-30,39.13,$5.57,7.03
2013-06-30,35.21,$4.45,7.91
2013-03-31,30.85,$6.03,5.12
2012-12-31,30.33,$2.69,11.29
2012-09-30,28.32,$5.56,5.09
2014-03-31,52.97,$3.50,15.15
2012-06-30,30.34,$2.62,11.56
2012-03-31,30.96,$3.27,9.48
2011-12-31,29.02,$3.29,8.83
2011-09-30,29.76,$4.01,7.42
2011-06-30,32.12,$3.14,10.24
2011-03-31,28.95,$3.66,7.91
2010-12-31,26.84,$3.50,7.67
2010-09-30,23.03,$2.86,8.06
2010-06-30,23.29,$3.39,6.87
2010-03-31,24.82,$3.59,6.92
2009-12-31,22.11,$2.37,9.33
