Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data,Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data,Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data,Domino's Pizza Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,521.83,,38.04
2023-12-31,409.65,$13.72,29.86
2023-09-30,375.29,$19.22,19.53
2023-06-30,332.87,$17.65,18.86
2023-03-31,324.55,$19.00,17.08
2022-12-31,339.47,$17.82,19.05
2024-03-31,495.45,$10.69,46.34
2022-09-30,303.09,$10.93,27.74
2022-06-30,379.55,$11.31,33.57
2022-03-31,395.24,$13.20,29.94
2021-12-31,546.46,$14.86,36.78
2021-09-30,461.03,$16.38,28.14
2021-06-30,450.07,$15.12,29.77
2021-03-31,354.1,$6.09,58.15
2020-12-31,368.23,$5.78,63.69
2020-09-30,407.56,$3.67,111.17
2020-06-30,353.34,$2.47,142.93
2019-12-31,279.71,$10.11,27.68
2019-09-30,232.37,$8.69,26.75
2019-06-30,263.68,$8.18,32.24
2019-03-31,243.99,$6.95,35.09
2018-12-31,233.82,$6.52,35.85
2018-09-30,277.35,$6.22,44.57
2018-06-30,264.95,$6.36,41.69
2018-03-31,218.87,$2.21,99.17
2017-12-31,176.65,$2.89,61.17
2017-09-30,185.14,$3.09,60.0
2017-06-30,196.77,$1.60,123.35
2016-12-31,147.44,$4.78,30.82
2016-09-30,140.27,$5.56,25.22
2016-06-30,121.05,$5.22,23.17
2016-03-31,121.13,$5.45,22.24
2015-12-31,101.9,$5.44,18.74
2017-03-31,171.06,$3.87,44.18
2015-09-30,98.56,$3.22,30.63
2015-06-30,103.28,$3.12,33.15
2015-03-31,91.33,$3.20,28.58
2014-12-31,85.26,$2.31,36.94
2014-09-30,69.5,$2.79,24.9
2014-06-30,65.79,$2.49,26.41
2014-03-31,69.04,$2.49,27.69
2013-12-31,62.28,$2.66,23.4
2013-09-30,60.59,$3.49,17.36
2013-06-30,51.69,$3.97,13.01
2013-03-31,45.57,$4.40,10.36
2020-03-31,309.31,$4.22,73.26
2012-12-31,38.43,$2.54,15.11
2012-09-30,33.26,$2.46,13.51
2012-06-30,27.27,$2.42,11.27
2012-03-31,32.03,$2.04,15.73
2011-12-31,27.69,$2.19,12.67
2011-09-30,22.23,$1.86,11.93
2011-06-30,20.59,$1.70,12.11
2011-03-31,15.03,$0.75,19.97
2010-12-31,13.01,$0.97,13.44
2010-09-30,10.78,$0.74,14.53
2010-06-30,9.22,$0.50,18.33
2009-12-31,6.84,$1.42,4.81
2009-09-30,7.21,$1.24,5.8
