Hartford Financial Services Price to Free Cash Flow Ratio Historical Data,Hartford Financial Services Price to Free Cash Flow Ratio Historical Data,Hartford Financial Services Price to Free Cash Flow Ratio Historical Data,Hartford Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,102.94,,7.49
2024-03-31,103.05,$13.74,7.5
2023-12-31,79.98,$12.86,6.22
2023-09-30,70.14,$10.95,6.41
2023-06-30,70.82,$9.94,7.12
2023-03-31,68.1,$13.03,5.23
2022-12-31,73.7,$11.63,6.34
2022-09-30,59.87,$11.80,5.08
2022-06-30,62.86,$10.86,5.79
2022-03-31,68.63,$10.33,6.64
2021-12-31,65.62,$11.18,5.87
2021-09-30,66.38,$11.25,5.9
2021-06-30,58.25,$11.36,5.13
2021-03-31,62.45,$11.69,5.34
2020-12-31,45.48,$10.42,4.37
2020-09-30,33.98,$9.93,3.42
2020-06-30,35.25,$10.03,3.52
2020-03-31,31.96,$9.33,3.43
2019-12-31,54.75,$9.27,5.9
2019-09-30,54.34,$9.10,5.97
2019-06-30,49.7,$6.78,7.33
2019-03-31,44.1,$6.33,6.96
2018-12-31,39.19,$7.47,5.24
2018-09-30,43.75,$6.39,6.85
2018-06-30,44.51,$6.46,6.89
2018-03-31,44.63,$2.51,17.8
2017-12-31,48.52,$2.19,22.12
2017-09-30,47.58,$2.10,22.68
2017-06-30,44.94,$1.42,31.68
2016-12-31,40.35,$4.67,8.65
2016-09-30,36.08,$8.40,4.29
2016-06-30,37.21,$7.46,4.99
2016-03-31,38.45,$8.45,4.55
2015-12-31,36.09,$9.13,3.95
2017-03-31,40.9,$4.76,8.6
2015-09-30,37.85,$6.25,6.06
2015-06-30,34.21,$5.13,6.67
2015-03-31,34.27,$4.07,8.42
2014-12-31,34.01,$3.84,8.87
2014-09-30,30.26,$2.41,12.56
2014-06-30,28.95,$2.62,11.06
2014-03-31,28.39,$2.63,10.81
2013-12-31,29.04,$2.39,12.14
2013-09-30,24.84,$2.66,9.33
2013-06-30,24.56,$3.63,6.77
2013-03-31,20.43,$3.61,5.66
2012-12-31,17.69,$5.61,3.15
2012-09-30,15.26,$6.12,2.49
2012-06-30,13.76,$5.58,2.47
2012-03-31,16.35,$6.26,2.61
2011-12-31,12.55,$4.76,2.64
2011-09-30,12.38,$5.77,2.15
2011-06-30,20.13,$6.37,3.16
2011-03-31,20.48,$6.57,3.12
2010-12-31,20.08,$6.87,2.92
2010-09-30,17.36,$5.41,3.21
2010-06-30,16.69,$4.98,3.35
2010-03-31,21.4,$6.68,3.2
2009-12-31,17.48,$8.59,2.03
