L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data,L3Harris Technologies Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-24,225.49,,33.65
2024-03-31,213.1,$6.70,31.8
2023-12-31,209.48,$9.31,22.51
2023-09-30,172.12,$8.98,19.18
2023-06-30,192.29,$9.63,19.98
2023-03-31,192.75,$11.58,16.64
2022-12-31,204.51,$10.04,20.37
2022-09-30,204.13,$18.12,11.26
2022-06-30,237.4,$17.54,13.53
2022-03-31,244.05,$17.14,14.24
2021-12-31,208.53,$20.08,10.38
2021-09-30,214.38,$11.07,19.36
2021-06-30,209.49,$12.12,17.28
2021-03-31,196.43,$12.29,15.98
2020-12-31,183.19,$11.64,15.74
2020-09-30,163.89,$5.99,27.37
2020-06-30,162.96,$5.63,28.93
