Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data,Pacific Gas & Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,17.66,,70.5
2024-03-31,16.76,$0.25,66.91
2023-12-31,18.02,$-0.12,0.0
2023-09-30,16.11,$0.03,509.86
2023-06-30,17.26,$-0.73,0.0
2022-12-31,16.24,$-2.75,0.0
2022-09-30,12.49,$-4.42,0.0
2022-06-30,9.97,$-4.09,0.0
2022-03-31,11.93,$-3.64,0.0
2021-12-31,12.13,$-4.18,0.0
2023-03-31,16.15,$-2.24,0.0
2021-09-30,9.59,$-11.52,0.0
2021-06-30,10.16,$-22.25,0.0
2021-03-31,11.7,$-21.55,0.0
2020-12-31,12.45,$-21.34,0.0
2020-09-30,9.38,$-14.14,0.0
2020-06-30,8.86,$-3.70,0.0
2020-03-31,8.98,$-4.83,0.0
2019-12-31,10.86,$-2.84,0.0
2019-09-30,9.99,$-2.96,0.0
2019-06-30,22.89,$-2.47,0.0
2019-03-31,17.78,$-1.55,0.0
2018-12-31,23.72,$-3.41,0.0
2018-09-30,45.96,$-1.58,0.0
2018-06-30,42.51,$-0.17,0.0
2018-03-31,43.88,$0.04,1225.68
2017-12-31,44.78,$0.66,68.36
2017-09-30,68.01,$0.63,107.34
2017-06-30,65.78,$-0.37,0.0
2017-03-31,65.25,$-1.61,0.0
2016-12-31,59.32,$-2.59,0.0
2016-09-30,59.22,$-3.07,0.0
2016-06-30,61.4,$-3.40,0.0
2016-03-31,56.92,$-0.71,0.0
2015-12-31,50.31,$-1.58,0.0
2015-09-30,49.52,$0.75,66.47
2015-06-30,45.65,$-0.21,0.0
2014-12-31,48.63,$-2.43,0.0
2014-09-30,40.8,$-2.94,0.0
2014-06-30,43.06,$-3.82,0.0
2014-03-31,38.37,$-4.05,0.0
2013-12-31,35.4,$-4.00,0.0
2013-09-30,35.56,$-1.95,0.0
2013-06-30,39.31,$-1.68,0.0
2013-03-31,37.89,$0.13,302.41
2012-12-31,33.84,$0.61,55.74
2012-09-30,35.53,$-1.19,0.0
2012-06-30,37.3,$-0.87,0.0
2012-03-31,35.4,$-1.50,0.0
2011-12-31,33.27,$-0.74,0.0
2011-09-30,33.76,$0.34,98.63
2011-06-30,33.19,$-0.44,0.0
2011-03-31,34.51,$0.02,1547.58
2010-12-31,36.98,$-1.52,0.0
2010-09-30,34.78,$-3.04,0.0
2010-06-30,31.16,$-2.56,0.0
2010-03-31,31.82,$-3.05,0.0
2009-12-31,33.14,$-2.38,0.0
2009-09-30,29.78,$-0.78,0.0
