Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data,Rollins Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-06-21,49.35,,45.69
2024-03-31,46.12,$1.08,42.71
2023-12-31,43.37,$1.04,41.81
2023-09-30,36.93,$0.99,37.41
2023-06-30,42.24,$1.00,42.32
2023-03-31,36.89,$0.96,38.57
2022-12-31,35.79,$0.91,39.17
2022-09-30,33.86,$1.01,33.36
2022-06-30,34.0,$0.76,44.65
2022-03-31,34.03,$0.72,47.43
2021-12-31,33.11,$0.91,36.28
2021-09-30,34.02,$0.76,44.74
2021-06-30,32.86,$0.96,34.17
2021-03-31,33.0,$1.04,31.75
2020-12-31,37.38,$0.85,43.73
2020-09-30,34.44,$0.80,42.96
2020-06-30,26.9,$0.79,33.98
2020-03-31,22.89,$0.66,34.58
2019-12-31,20.94,$0.60,34.96
2019-09-30,21.43,$0.62,34.43
2019-06-30,22.49,$0.58,38.54
2019-03-31,26.02,$0.53,48.7
2018-12-31,22.5,$0.56,40.32
2018-09-30,25.11,$0.47,53.01
2018-06-30,21.7,$0.45,48.71
2018-03-31,21.0,$0.46,45.52
2017-12-31,19.09,$0.43,44.36
2017-09-30,18.84,$0.48,39.15
2017-06-30,16.58,$0.46,35.79
2017-03-31,15.08,$0.44,34.57
2016-12-31,13.67,$0.40,34.42
2016-09-30,11.78,$0.36,32.95
2016-06-30,11.73,$0.33,35.03
2016-03-31,10.83,$0.32,34.09
2015-12-31,10.3,$0.32,31.74
2015-09-30,10.61,$0.30,35.3
2015-06-30,11.24,$0.33,34.45
2015-03-31,9.71,$0.34,28.57
2014-12-31,8.63,$0.34,25.37
2014-09-30,7.59,$0.33,22.66
2014-06-30,7.75,$0.32,23.93
2014-03-31,7.78,$0.30,26.2
2013-12-31,7.77,$0.29,26.51
2013-09-30,6.77,$0.26,25.97
2013-06-30,6.6,$0.24,27.06
2013-03-31,6.23,$0.25,24.86
2012-12-31,5.57,$0.25,22.38
2012-09-30,5.88,$0.29,20.29
2012-06-30,5.61,$0.28,20.36
2012-03-31,5.31,$0.28,18.74
2011-12-31,5.53,$0.28,20.05
2011-09-30,4.64,$0.26,18.14
2011-06-30,5.03,$0.25,20.33
2011-03-31,5.0,$0.23,21.88
2010-12-31,4.84,$0.22,21.82
2010-09-30,3.81,$0.20,19.39
2010-06-30,3.36,$0.18,18.4
2010-03-31,3.5,$0.21,16.86
2009-12-31,3.1,$0.19,16.45
