Citizens Financial Quarterly Net Income (Millions of US $),Citizens Financial Quarterly Net Income (Millions of US $).1
2024-03-31,$304
2023-12-31,$159
2023-09-30,$400
2023-06-30,$444
2023-03-31,$488
2022-12-31,$621
2022-09-30,$611
2022-06-30,$332
2022-03-31,$396
2021-12-31,$498
2021-09-30,$504
2021-06-30,$616
2021-03-31,$588
2020-12-31,$424
2020-09-30,$289
2020-06-30,$225
2020-03-31,$12
2019-12-31,$427
2019-09-30,$432
2019-06-30,$435
2019-03-31,$424
2018-12-31,$450
2018-09-30,$436
2018-06-30,$425
2018-03-31,$381
2017-12-31,$666
2017-09-30,$341
2017-06-30,$318
2017-03-31,$313
2016-12-31,$282
2016-09-30,$290
2016-06-30,$243
2016-03-31,$216
2015-12-31,$221
2015-09-30,$213
2015-06-30,$190
2015-03-31,$209
2014-12-31,$197
2014-09-30,$189
2014-06-30,$313
2014-03-31,$166
2013-12-31,
2013-09-30,$144
2013-06-30,
2012-12-31,
2011-12-31,
