Fair Isaac Quarterly Net Income (Millions of US $),Fair Isaac Quarterly Net Income (Millions of US $).1
2024-03-31,$130
2023-12-31,$121
2023-09-30,$101
2023-06-30,$129
2023-03-31,$102
2022-12-31,$98
2022-09-30,$91
2022-06-30,$94
2022-03-31,$104
2021-12-31,$85
2021-09-30,$86
2021-06-30,$151
2021-03-31,$69
2020-12-31,$86
2020-09-30,$59
2020-06-30,$64
2020-03-31,$58
2019-12-31,$55
2019-09-30,$55
2019-06-30,$64
2019-03-31,$33
2018-12-31,$40
2018-09-30,$33
2018-06-30,$30
2018-03-31,$31
2017-12-31,$33
2017-09-30,$45
2017-06-30,$25
2017-03-31,$25
2016-12-31,$38
2016-09-30,$32
2016-06-30,$35
2016-03-31,$23
2015-12-31,$19
2015-09-30,$33
2015-06-30,$20
2015-03-31,$19
2014-12-31,$14
2014-09-30,$37
2014-06-30,$21
2014-03-31,$21
2013-12-31,$17
2013-09-30,$29
2013-06-30,$20
2013-03-31,$18
2012-12-31,$23
2012-09-30,$21
2012-06-30,$21
2012-03-31,$20
2011-12-31,$30
2011-09-30,$25
2011-06-30,$23
2011-03-31,$8
2010-12-31,$16
2010-09-30,$16
2010-06-30,$18
2010-03-31,$13
2009-12-31,$18
2009-09-30,$17
2009-06-30,$18
2009-03-31,$18
