GE Aerospace Quarterly Net Income (Millions of US $),GE Aerospace Quarterly Net Income (Millions of US $).1
2024-03-31,"$1,537"
2023-12-31,"$1,591"
2023-09-30,$258
2023-06-30,$-23
2023-03-31,"$7,360"
2022-12-31,"$2,100"
2022-09-30,$88
2022-06-30,$-949
2022-03-31,"$-1,188"
2021-12-31,"$-3,716"
2021-09-30,"$1,205"
2021-06-30,"$-1,188"
2021-03-31,"$-2,874"
2020-12-31,"$2,443"
2020-09-30,"$-1,190"
2020-06-30,"$-2,179"
2020-03-31,"$6,156"
2019-12-31,$538
2019-09-30,"$-9,465"
2019-06-30,$-61
2019-03-31,"$3,549"
2018-12-31,$575
2018-09-30,"$-22,808"
2018-06-30,$615
2018-03-31,"$-1,184"
2017-12-31,"$-11,002"
2017-09-30,"$1,324"
2017-06-30,$875
2017-03-31,$-117
2016-12-31,"$2,156"
2016-09-30,"$1,994"
2016-06-30,"$2,756"
2016-03-31,$-61
2015-12-31,"$6,283"
2015-09-30,"$2,506"
2015-06-30,"$-1,360"
2015-03-31,"$-13,573"
2014-12-31,"$5,152"
2014-09-30,"$3,537"
2014-06-30,"$3,545"
2014-03-31,"$2,999"
2013-12-31,"$3,206"
2013-09-30,"$3,191"
2013-06-30,"$3,133"
2013-03-31,"$3,527"
2012-12-31,"$4,011"
2012-09-30,"$3,491"
2012-06-30,"$3,105"
2012-03-31,"$3,034"
2011-12-31,"$3,730"
2011-09-30,"$2,343"
2011-06-30,"$3,689"
2011-03-31,"$3,358"
2010-12-31,"$4,460"
2010-09-30,"$1,980"
2010-06-30,"$3,034"
2010-03-31,"$1,870"
2009-12-31,"$2,938"
2009-09-30,"$2,419"
2009-06-30,"$2,614"
2009-03-31,"$2,754"
