Hewlett Packard Enterprise Quarterly Net Income (Millions of US $),Hewlett Packard Enterprise Quarterly Net Income (Millions of US $).1
2024-04-30,$314
2024-01-31,$387
2023-10-31,$642
2023-07-31,$464
2023-04-30,$418
2023-01-31,$501
2022-10-31,$-304
2022-07-31,$409
2022-04-30,$250
2022-01-31,$513
2021-10-31,"$2,553"
2021-07-31,$392
2021-04-30,$259
2021-01-31,$223
2020-10-31,$157
2020-07-31,$9
2020-04-30,$-821
2020-01-31,$333
2019-10-31,$480
2019-07-31,$-27
2019-04-30,$419
2019-01-31,$177
2018-10-31,$-757
2018-07-31,$451
2018-04-30,$778
2018-01-31,"$1,436"
2017-10-31,$524
2017-07-31,$165
2017-04-30,$-612
2017-01-31,$267
2016-10-31,$302
2016-07-31,"$2,272"
2016-04-30,$320
2016-01-31,$267
2015-10-31,"$1,323"
2015-07-31,$224
2015-04-30,$305
2015-01-31,$547
2014-10-31,"$1,330"
2013-10-31,
2012-10-31,
