L3Harris Technologies Inc Quarterly Net Income (Millions of US $),L3Harris Technologies Inc Quarterly Net Income (Millions of US $).1
2024-03-31,$283
2023-12-31,$158
2023-09-30,$383
2023-06-30,$349
2023-03-31,$337
2022-12-31,$416
2022-09-30,$-300
2022-06-30,$471
2022-03-31,$475
2021-12-31,$484
2021-09-30,$481
2021-06-30,$413
2021-03-31,$468
2020-12-31,$193
2020-09-30,$426
2020-06-30,$283
2020-03-31,$217
2019-12-31,
2019-09-30,$429
2019-06-30,$268
2019-03-31,$243
2018-12-31,$225
2018-09-30,$213
2018-06-30,
2018-03-31,$196
2017-12-31,$131
2017-09-30,$159
2017-06-30,
2017-03-31,$85
2016-12-31,$177
2016-09-30,$160
2016-06-30,
2016-03-31,$168
2015-12-31,$-152
2015-09-30,$148
2015-06-30,
2015-03-31,$126
2014-12-31,$139
2014-09-30,$125
2014-06-30,
2014-03-31,$141
2013-12-31,$136
2013-09-30,$126
2013-06-30,
2013-03-31,$95
2012-12-31,$49
2012-09-30,$-86
2012-06-30,
2012-03-31,$-353
2011-12-31,$133
2011-09-30,$122
2011-06-30,
2011-03-31,$140
2010-12-31,$151
2010-09-30,$164
2010-06-30,
2010-03-31,$166
2009-12-31,$140
2009-09-30,$105
2009-06-30,
2009-03-31,$114
