NXP Semiconductors Quarterly Net Income (Millions of US $),NXP Semiconductors Quarterly Net Income (Millions of US $).1
2024-03-31,$639
2023-12-31,$697
2023-09-30,$787
2023-06-30,$698
2023-03-31,$615
2022-12-31,$722
2022-09-30,$738
2022-06-30,$670
2022-03-31,$657
2021-12-31,$602
2021-09-30,$519
2021-06-30,$397
2021-03-31,$353
2020-12-31,$309
2020-09-30,$-22
2020-06-30,$-214
2020-03-31,$-21
2019-12-31,$114
2019-09-30,$109
2019-06-30,$41
2019-03-31,$-21
2018-12-31,$276
2018-09-30,"$1,820"
2018-06-30,$54
2018-03-31,$58
2017-12-31,$753
2017-09-30,$108
2017-06-30,$49
2017-03-31,"$1,305"
2016-12-31,$520
2016-09-30,$91
2016-06-30,$-13
2016-03-31,$-398
2015-12-31,$972
2015-09-30,$361
2015-06-30,$300
2015-03-31,$-107
2014-12-31,$149
2014-09-30,$121
2014-06-30,$159
2014-03-31,$110
2013-12-31,$96
2013-09-30,$155
2013-06-30,$111
2013-03-31,$-14
2012-12-31,$-116
2012-09-30,$115
2012-06-30,$-90
2012-03-31,$-24
2011-12-31,$-182
2011-09-30,$301
2011-06-30,$84
2011-03-31,$187
2010-12-31,$-118
2010-09-30,$369
2010-06-30,$-362
2010-03-31,$-345
2009-12-31,
2009-09-30,$418
