Royal Caribbean Cruises Quarterly Net Income (Millions of US $),Royal Caribbean Cruises Quarterly Net Income (Millions of US $).1
2024-03-31,$360
2023-12-31,$277
2023-09-30,"$1,009"
2023-06-30,$459
2023-03-31,$-48
2022-12-31,$-500
2022-09-30,$33
2022-06-30,$-522
2022-03-31,"$-1,167"
2021-12-31,"$-1,356"
2021-09-30,"$-1,425"
2021-06-30,"$-1,347"
2021-03-31,"$-1,132"
2020-12-31,"$-1,367"
2020-09-30,"$-1,347"
2020-06-30,"$-1,639"
2020-03-31,"$-1,444"
2019-12-31,$273
2019-09-30,$883
2019-06-30,$473
2019-03-31,$250
2018-12-31,$316
2018-09-30,$810
2018-06-30,$466
2018-03-31,$219
2017-12-31,$288
2017-09-30,$753
2017-06-30,$370
2017-03-31,$215
2016-12-31,$261
2016-09-30,$693
2016-06-30,$230
2016-03-31,$99
2015-12-31,$207
2015-09-30,$229
2015-06-30,$185
2015-03-31,$45
2014-12-31,$110
2014-09-30,$490
2014-06-30,$138
2014-03-31,$26
2013-12-31,$7
2013-09-30,$366
2013-06-30,$25
2013-03-31,$76
2012-12-31,$-393
2012-09-30,$368
2012-06-30,$-4
2012-03-31,$47
2011-12-31,$37
2011-09-30,$399
2011-06-30,$93
2011-03-31,$78
2010-12-31,$24
2010-09-30,$350
2010-06-30,$54
2010-03-31,$87
2009-12-31,$-7
2009-09-30,$230
2009-06-30,$-35
2009-03-31,$-36
