Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data,Air Products And Chemicals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,264.61,,23.88
2024-03-31,242.27,$11.08,21.87
2023-12-31,271.81,$10.48,25.94
2023-09-30,279.56,$10.32,27.09
2023-06-30,293.66,$9.83,29.87
2023-03-31,279.94,$9.78,28.62
2022-12-31,298.64,$10.19,29.31
2022-09-30,224.29,$10.14,22.12
2022-06-30,230.15,$10.26,22.43
2022-03-31,237.58,$10.04,23.66
2021-12-31,287.38,$9.79,29.35
2021-09-30,240.72,$9.44,25.5
2021-06-30,268.82,$8.89,30.24
2021-03-31,261.53,$8.50,30.77
2020-12-31,252.63,$8.52,29.65
2020-09-30,274.07,$8.49,32.28
2020-06-30,221.18,$8.57,25.81
2020-03-31,181.84,$8.76,20.76
2019-12-31,212.64,$8.51,24.99
2019-09-30,199.77,$7.94,25.16
2019-06-30,202.77,$7.72,26.27
2019-03-31,170.18,$7.67,22.19
2018-12-31,141.77,$7.66,18.51
2018-09-30,147.98,$6.79,21.79
2018-06-30,137.05,$6.87,19.95
2018-03-31,138.97,$5.18,26.83
2017-12-31,142.4,$12.99,10.96
2017-09-30,129.68,$13.66,9.49
2017-06-30,122.68,$13.33,9.2
2017-03-31,115.24,$14.46,7.97
2016-12-31,121.66,$2.59,46.97
2016-09-30,116.3,$2.89,40.24
2016-06-30,109.88,$2.67,41.15
2016-03-31,110.75,$2.55,43.43
2015-12-31,99.44,$6.05,16.44
2015-09-30,96.91,$5.88,16.48
2015-06-30,103.28,$4.78,21.61
2015-03-31,113.51,$4.77,23.8
2014-12-31,107.65,$4.76,22.62
2014-09-30,96.66,$4.61,20.97
2014-06-30,94.95,$4.77,19.91
2014-03-31,87.36,$4.67,18.71
2013-12-31,81.49,$4.73,17.23
2013-09-30,77.21,$4.69,16.46
2013-06-30,65.9,$4.70,14.02
2013-03-31,62.22,$5.60,11.11
2012-12-31,59.52,$5.60,10.63
2012-09-30,58.14,$5.45,10.67
2012-06-30,56.32,$6.31,8.92
2012-03-31,63.52,$5.55,11.44
2011-12-31,58.54,$5.56,10.53
2011-09-30,52.12,$5.63,9.26
2011-06-30,64.76,$5.37,12.06
2011-03-31,60.72,$5.04,12.05
2010-12-31,60.85,$4.81,12.65
2010-09-30,55.11,$4.74,11.63
2010-06-30,42.88,$4.62,9.28
2010-03-31,48.56,$3.98,12.2
2009-12-31,52.88,$3.79,13.95
