Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,152.87,,8.41
2024-03-31,171.08,$18.17,9.42
2023-12-31,153.96,$17.90,8.6
2023-09-30,123.62,$18.56,6.66
2023-06-30,113.41,$11.62,9.76
2023-03-31,105.95,$13.59,7.8
2022-12-31,98.89,$17.37,5.69
2022-09-30,86.75,$15.13,5.73
2022-06-30,112.27,$17.94,6.26
2022-03-31,135.72,$18.73,7.25
2021-12-31,158.9,$16.94,9.38
2021-09-30,141.83,$24.65,5.75
2021-06-30,142.1,$21.84,6.51
2021-03-31,139.82,$17.97,7.78
2020-12-31,120.64,$16.97,7.11
2020-09-30,99.23,$4.83,20.54
2020-06-30,79.2,$5.21,15.2
2020-03-31,66.8,$5.97,11.19
2019-12-31,111.43,$6.78,16.44
2019-09-30,110.13,$7.17,15.36
2019-06-30,96.54,$8.00,12.07
2019-03-31,87.81,$8.86,9.91
2018-12-31,79.69,$8.89,8.96
2018-09-30,100.97,$9.63,10.49
2018-06-30,97.91,$8.32,11.77
2018-03-31,87.91,$7.46,11.78
2017-12-31,93.52,$6.10,15.33
2017-09-30,90.67,$5.73,15.82
2017-06-30,82.16,$5.89,13.95
2017-03-31,77.35,$5.73,13.5
2016-12-31,67.51,$6.16,10.96
2016-09-30,56.78,$3.01,18.86
2016-06-30,55.53,$2.27,24.46
2016-03-31,55.3,$2.10,26.33
2015-12-31,56.54,$1.90,29.76
2015-09-30,49.47,$3.38,14.64
2015-06-30,59.83,$3.94,15.18
2015-03-31,46.28,$4.27,10.84
2014-12-31,49.47,$3.99,12.4
2014-09-30,48.07,$8.69,5.53
2014-06-30,52.58,$8.14,6.46
2014-03-31,45.22,$7.31,6.19
2013-12-31,44.9,$6.95,6.46
2013-09-30,42.72,$3.39,12.6
2013-06-30,36.12,$3.04,11.88
2013-03-31,35.45,$3.52,10.07
2012-12-31,35.78,$3.78,9.47
2012-09-30,30.4,$3.79,8.02
2012-06-30,27.71,$4.11,6.74
2012-03-31,36.91,$4.08,9.05
2011-12-31,35.34,$3.83,9.23
2011-09-30,25.93,$3.58,7.24
2011-06-30,42.44,$3.45,12.3
2011-03-31,35.29,$3.18,11.1
2010-12-31,32.7,$2.38,13.74
2010-09-30,25.46,$2.05,12.42
2010-06-30,19.72,$3.66,5.39
2010-03-31,25.19,$3.31,7.61
2009-12-31,25.35,$3.05,8.31
