CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data,CF Industries Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,77.51,,12.88
2024-03-31,82.65,$6.02,13.73
2023-12-31,78.46,$7.84,10.01
2023-09-30,84.2,$10.75,7.83
2023-06-30,67.83,$12.08,5.61
2023-03-31,70.4,$14.96,4.71
2022-12-31,82.36,$16.32,5.05
2022-09-30,92.7,$15.24,6.08
2022-06-30,82.25,$12.20,6.74
2022-03-31,98.5,$7.76,12.69
2021-12-31,67.37,$4.25,15.85
2021-09-30,52.88,$1.38,38.32
2021-06-30,48.44,$2.11,22.96
2021-03-31,42.49,$1.86,22.85
2020-12-31,36.0,$1.47,24.49
2020-09-30,28.29,$1.32,21.43
2020-06-30,25.7,$1.74,14.77
2020-03-31,24.54,$2.13,11.52
2019-12-31,42.75,$2.22,19.26
2019-09-30,43.78,$2.18,20.08
2019-06-30,41.56,$2.02,20.57
2019-03-31,36.11,$1.37,26.36
2018-12-31,38.16,$1.24,30.78
2018-09-30,47.43,$3.01,15.76
2018-06-30,38.45,$2.51,15.32
2018-03-31,32.43,$1.89,17.16
2017-12-31,36.3,$1.52,23.88
2017-09-30,29.75,$-1.83,0.0
2017-06-30,23.43,$-1.59,0.0
2017-03-31,24.32,$-1.40,0.0
2016-12-31,25.86,$-1.19,0.0
2016-09-30,19.79,$0.29,68.23
2016-06-30,19.32,$0.81,23.86
2016-03-31,24.88,$2.10,11.85
2015-12-31,32.05,$2.95,10.87
2015-09-30,35.03,$3.80,9.21
2015-06-30,49.91,$3.94,12.68
2015-03-31,43.84,$3.67,11.96
2014-12-31,41.91,$5.29,7.93
2014-09-30,42.7,$5.47,7.81
2014-06-30,36.56,$5.76,6.35
2014-03-31,39.46,$6.21,6.35
2013-12-31,35.13,$4.92,7.13
2013-09-30,31.63,$5.26,6.01
2013-06-30,25.68,$5.72,4.49
2013-03-31,28.44,$5.91,4.82
2012-12-31,30.3,$5.72,5.3
2012-09-30,33.08,$5.57,5.94
2012-06-30,28.78,$5.25,5.48
2012-03-31,27.07,$4.74,5.72
2011-12-31,21.44,$4.41,4.86
2011-09-30,18.2,$3.63,5.01
2011-06-30,20.85,$2.82,7.39
2011-03-31,20.11,$1.78,11.3
2010-12-31,19.86,$0.98,20.27
2010-09-30,14.02,$0.63,22.19
2010-06-30,9.31,$0.65,14.23
2010-03-31,13.35,$1.21,11.02
2009-12-31,13.28,$1.49,8.94
