International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data,International Flavors & Fragrances PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,96.14,,0.0
2024-03-31,85.99,$-9.77,0.0
2023-12-31,80.58,$-10.04,0.0
2023-09-30,67.18,$0.18,373.2
2023-06-30,77.51,$-8.54,0.0
2023-03-31,88.63,$-8.22,0.0
2022-12-31,100.07,$-7.22,0.0
2022-09-30,86.03,$-6.88,0.0
2022-06-30,111.9,$2.50,44.76
2022-03-31,122.53,$2.18,56.21
2021-12-31,139.7,$1.01,138.31
2021-09-30,123.33,$1.23,100.27
2021-06-30,136.97,$1.22,112.27
2021-03-31,127.34,$1.85,68.83
2020-12-31,98.73,$3.21,30.76
2020-09-30,110.3,$3.34,33.02
2020-06-30,109.58,$3.72,29.46
2020-03-31,90.79,$4.18,21.72
2019-12-31,113.93,$3.99,28.55
2019-09-30,107.7,$3.38,31.86
2019-06-30,126.58,$3.42,37.01
2019-03-31,111.8,$3.47,32.22
2018-12-31,115.87,$4.14,27.99
2018-09-30,119.4,$3.54,33.73
2018-06-30,105.84,$3.76,28.15
2018-03-31,116.25,$3.89,29.89
2017-12-31,128.91,$3.71,34.75
2017-09-30,120.18,$5.22,23.02
2017-06-30,112.99,$4.95,22.83
2017-03-31,110.4,$5.03,21.95
2016-12-31,97.69,$5.05,19.34
2016-09-30,117.89,$4.94,23.87
2016-06-30,103.49,$5.13,20.17
2016-03-31,92.99,$4.96,18.75
2015-12-31,97.3,$5.06,19.23
2015-09-30,83.59,$5.27,15.86
2015-06-30,88.0,$5.27,16.7
2015-03-31,94.14,$5.33,17.66
2014-12-31,80.95,$5.06,16.0
2014-09-30,76.23,$4.71,16.18
2014-06-30,82.51,$4.60,17.94
2014-03-31,75.4,$4.49,16.79
2013-12-31,67.48,$4.29,15.73
2013-09-30,64.3,$4.37,14.71
2013-06-30,58.45,$3.37,17.34
2013-03-31,59.35,$3.21,18.49
2012-12-31,51.28,$3.10,16.54
2012-09-30,45.69,$2.57,17.78
2012-06-30,41.78,$3.37,12.4
2012-03-31,44.43,$3.22,13.8
2011-12-31,39.53,$3.26,12.13
2011-09-30,42.15,$3.64,11.58
2011-06-30,47.92,$3.59,13.35
2011-03-31,46.27,$3.49,13.26
2010-12-31,41.1,$3.26,12.61
2010-09-30,35.7,$3.17,11.26
2010-06-30,31.04,$2.88,10.78
2010-03-31,34.69,$2.66,13.04
2009-12-31,29.78,$2.46,12.1
