MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data,MarketAxess Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,216.89,,31.85
2024-03-31,218.51,$6.81,32.09
2023-12-31,290.88,$6.85,42.46
2023-09-30,211.5,$6.59,32.09
2023-06-30,258.09,$6.71,38.46
2023-03-31,385.38,$6.90,55.85
2022-12-31,274.12,$6.65,41.22
2022-09-30,218.05,$6.44,33.86
2022-06-30,250.25,$6.38,39.22
2022-03-31,331.67,$6.37,52.07
2021-12-31,400.2,$6.77,59.11
2021-09-30,408.71,$7.31,55.91
2021-06-30,449.77,$7.57,59.41
2021-03-31,482.36,$8.00,60.3
2020-12-31,552.08,$7.85,70.33
2020-09-30,465.47,$7.26,64.11
2020-06-30,483.58,$6.90,70.08
2020-03-31,320.67,$5.97,53.71
2019-12-31,364.91,$5.40,67.58
2019-09-30,314.76,$5.29,59.5
2019-06-30,308.46,$4.89,63.08
2019-03-31,235.73,$4.69,50.26
2018-12-31,201.97,$4.57,44.19
2018-09-30,170.25,$4.24,40.15
2018-06-30,188.3,$4.12,45.7
2018-03-31,206.51,$4.05,50.99
2017-12-31,191.19,$3.89,49.15
2017-09-30,174.53,$3.89,44.87
2017-06-30,189.91,$3.81,49.84
2017-03-31,176.74,$3.69,47.9
2016-12-31,138.26,$3.35,41.27
2016-09-30,155.56,$3.12,49.86
2016-06-30,136.38,$2.90,47.03
2016-03-31,116.84,$2.66,43.93
2015-12-31,104.2,$2.54,41.02
2015-09-30,86.68,$2.46,35.24
2015-06-30,86.27,$2.32,37.19
2015-03-31,76.91,$2.16,35.61
2014-12-31,66.36,$1.97,33.69
2014-09-30,57.11,$2.01,28.41
2014-06-30,49.76,$2.03,24.51
2014-03-31,54.35,$2.06,26.38
2013-12-31,61.27,$2.01,30.48
2013-09-30,54.77,$1.94,28.23
2013-06-30,42.61,$1.82,23.41
2013-03-31,33.89,$1.65,20.54
2012-12-31,31.97,$1.59,20.1
2012-09-30,27.42,$1.34,20.46
2012-06-30,23.03,$1.32,17.45
2012-03-31,32.13,$1.28,25.1
2011-12-31,25.85,$1.20,21.54
2011-09-30,22.27,$1.14,19.54
2011-06-30,21.37,$1.02,20.95
2011-03-31,20.55,$0.90,22.83
2010-12-31,17.6,$0.80,22.0
2010-09-30,14.31,$0.71,20.15
2010-06-30,11.57,$0.61,18.96
2010-03-31,13.14,$0.51,25.76
2009-12-31,11.55,$0.42,27.51
