Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data,Zimmer Biomet Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,116.41,,25.2
2024-03-31,131.98,$4.62,28.57
2023-12-31,121.48,$4.89,24.84
2023-09-30,111.8,$2.26,49.47
2023-06-30,144.74,$2.41,60.06
2023-03-31,128.22,$2.14,59.92
2022-12-31,126.3,$1.10,114.82
2022-09-30,103.37,$1.32,78.31
2022-06-30,103.64,$1.09,95.08
2022-03-31,125.89,$1.03,122.23
2021-12-31,124.81,$1.90,65.69
2021-09-30,143.52,$3.89,36.89
2021-06-30,157.45,$4.36,36.11
2021-03-31,156.5,$2.69,58.18
2020-12-31,150.42,$-0.71,0.0
2020-09-30,132.68,$-0.76,0.0
2020-06-30,116.12,$0.16,725.74
2020-03-31,98.13,$1.81,54.22
2019-12-31,144.97,$5.47,26.5
2019-09-30,132.74,$-0.49,0.0
2019-06-30,113.65,$-1.78,0.0
2019-03-31,123.01,$-1.53,0.0
2018-12-31,99.72,$-1.88,0.0
2018-09-30,126.1,$8.70,14.49
2018-06-30,106.69,$8.39,12.72
2018-03-31,104.17,$8.39,12.42
2017-12-31,115.02,$9.01,12.77
2017-09-30,111.39,$3.18,35.03
2017-06-30,121.89,$3.48,35.03
2017-03-31,115.71,$2.42,47.81
2016-12-31,97.59,$1.47,66.39
2016-09-30,122.67,$1.28,95.84
2016-06-30,113.36,$0.61,185.84
2016-03-31,100.21,$-0.14,0.0
2015-12-31,96.2,$0.36,267.21
2015-09-30,87.89,$1.13,77.78
2015-06-30,101.96,$1.98,51.5
2015-03-31,109.48,$3.92,27.93
2014-12-31,105.47,$4.19,25.17
2014-09-30,93.32,$4.64,20.11
2014-06-30,96.19,$4.58,21.0
2014-03-31,87.41,$4.44,19.69
2013-12-31,85.92,$4.43,19.4
2013-09-30,75.57,$3.95,19.13
2013-06-30,68.78,$4.07,16.9
2013-03-31,68.85,$4.40,15.65
2012-12-31,60.85,$4.29,14.18
2012-09-30,61.56,$4.28,14.38
2012-06-30,58.44,$4.27,13.69
2012-03-31,58.2,$4.11,14.16
2011-12-31,48.23,$4.02,12.0
2011-09-30,48.28,$3.33,14.5
2011-06-30,57.06,$3.28,17.4
2011-03-31,54.65,$3.04,17.98
2010-12-31,48.46,$2.70,17.95
2010-09-30,47.24,$3.22,14.67
2010-06-30,48.8,$3.24,15.06
2009-12-31,53.37,$3.33,16.03
2009-09-30,48.26,$3.60,13.4
