Arcos Dorados Holdings Quarterly Net Income (Millions of US $),Arcos Dorados Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$27
2024-03-31,$29
2023-12-31,$56
2023-09-30,$60
2023-06-30,$28
2023-03-31,$37
2022-12-31,$54
2022-09-30,$47
2022-06-30,$14
2022-03-31,$25
2021-12-31,$46
2021-09-30,$25
2021-06-30,$5
2021-03-31,$-30
2020-12-31,$164
2020-09-30,$-171
2020-06-30,$-90
2020-03-31,$-52
2019-12-31,$33
2019-09-30,$24
2019-06-30,$10
2019-03-31,$12
2018-12-31,$-0
2018-09-30,$26
2018-06-30,$11
2018-03-31,$1
2017-12-31,$69
2017-09-30,$23
2017-06-30,$-4
2017-03-31,$41
2016-12-31,$21
2016-09-30,$-2
2016-06-30,$43
2016-03-31,$16
2015-12-31,$6
2015-09-30,$-36
2015-06-30,$7
2015-03-31,$-28
2014-12-31,$10
2014-09-30,$0
2014-06-30,$-99
2014-03-31,$-21
2013-12-31,$32
2013-09-30,$20
2013-06-30,$9
2013-03-31,$-7
2012-12-31,$44
2012-09-30,$33
2012-06-30,$12
2012-03-31,$25
2011-12-31,$46
2011-09-30,$20
2011-06-30,$14
2011-03-31,$35
2010-12-31,$41
2010-09-30,$29
2010-06-30,$13
2010-03-31,$22
