AptarGroup Quarterly Net Income (Millions of US $),AptarGroup Quarterly Net Income (Millions of US $).1
2024-06-30,$90
2024-03-31,$83
2023-12-31,$62
2023-09-30,$84
2023-06-30,$83
2023-03-31,$55
2022-12-31,$59
2022-09-30,$54
2022-06-30,$64
2022-03-31,$62
2021-12-31,$58
2021-09-30,$47
2021-06-30,$55
2021-03-31,$84
2020-12-31,$53
2020-09-30,$64
2020-06-30,$42
2020-03-31,$55
2019-12-31,$49
2019-09-30,$57
2019-06-30,$74
2019-03-31,$63
2018-12-31,$41
2018-09-30,$39
2018-06-30,$56
2018-03-31,$59
2017-12-31,$50
2017-09-30,$54
2017-06-30,$65
2017-03-31,$52
2016-12-31,$50
2016-09-30,$53
2016-06-30,$59
2016-03-31,$44
2015-12-31,$43
2015-09-30,$53
2015-06-30,$58
2015-03-31,$45
2014-12-31,$42
2014-09-30,$49
2014-06-30,$53
2014-03-31,$48
2013-12-31,$37
2013-09-30,$45
2013-06-30,$50
2013-03-31,$40
2012-12-31,$35
2012-09-30,$42
2012-06-30,$42
2012-03-31,$44
2011-12-31,$39
2011-09-30,$49
2011-06-30,$51
2011-03-31,$44
2010-12-31,$41
2010-09-30,$47
2010-06-30,$47
2010-03-31,$39
2009-12-31,$36
2009-09-30,$33
2009-06-30,$28
2009-03-31,$27
