Brink's Quarterly Net Income (Millions of US $),Brink's Quarterly Net Income (Millions of US $).1
2024-06-30,$46
2024-03-31,$49
2023-12-31,$-5
2023-09-30,$46
2023-06-30,$32
2023-03-31,$15
2022-12-31,$45
2022-09-30,$19
2022-06-30,$35
2022-03-31,$71
2021-12-31,$50
2021-09-30,$19
2021-06-30,$24
2021-03-31,$13
2020-12-31,$25
2020-09-30,$-24
2020-06-30,$13
2020-03-31,$2
2019-12-31,$-3
2019-09-30,$5
2019-06-30,$13
2019-03-31,$14
2018-12-31,$35
2018-09-30,$17
2018-06-30,$-108
2018-03-31,$22
2017-12-31,$-52
2017-09-30,$20
2017-06-30,$14
2017-03-31,$35
2016-12-31,$13
2016-09-30,$25
2016-06-30,$0
2016-03-31,$-3
2015-12-31,$-4
2015-09-30,$8
2015-06-30,$-13
2015-03-31,$-3
2014-12-31,$-47
2014-09-30,$20
2014-06-30,$2
2014-03-31,$-59
2013-12-31,$41
2013-09-30,$24
2013-06-30,$9
2013-03-31,$-17
2012-12-31,$28
2012-09-30,$14
2012-06-30,$31
2012-03-31,$17
2011-12-31,$16
2011-09-30,$31
2011-06-30,$8
2011-03-31,$20
2010-12-31,$20
2010-09-30,$24
2010-06-30,$22
2010-03-31,$-8
2009-12-31,$123
2009-09-30,$34
2009-06-30,$20
2009-03-31,$23
