Community Financial System Quarterly Net Income (Millions of US $),Community Financial System Quarterly Net Income (Millions of US $).1
2024-06-30,$48
2024-03-31,$41
2023-12-31,$33
2023-09-30,$44
2023-06-30,$48
2023-03-31,$6
2022-12-31,$52
2022-09-30,$49
2022-06-30,$40
2022-03-31,$47
2021-12-31,$43
2021-09-30,$45
2021-06-30,$48
2021-03-31,$53
2020-12-31,$46
2020-09-30,$43
2020-06-30,$35
2020-03-31,$40
2019-12-31,$43
2019-09-30,$39
2019-06-30,$45
2019-03-31,$42
2018-12-31,$41
2018-09-30,$43
2018-06-30,$44
2018-03-31,$40
2017-12-31,$72
2017-09-30,$35
2017-06-30,$17
2017-03-31,$26
2016-12-31,$26
2016-09-30,$27
2016-06-30,$26
2016-03-31,$24
2015-12-31,$20
2015-09-30,$25
2015-06-30,$24
2015-03-31,$22
2014-12-31,$23
2014-09-30,$22
2014-06-30,$24
2014-03-31,$22
2013-12-31,$15
2013-09-30,$22
2013-06-30,$21
2013-03-31,$20
2012-12-31,$19
2012-09-30,$18
2012-06-30,$21
2012-03-31,$19
2011-12-31,$19
2011-09-30,$20
2011-06-30,$18
2011-03-31,$16
2010-12-31,$15
2010-09-30,$17
2010-06-30,$16
2010-03-31,$14
2009-12-31,$9
2009-09-30,$12
2009-06-30,$9
2009-03-31,$10
