Coca-Cola Europacific Partners Quarterly Net Income (Millions of US $),Coca-Cola Europacific Partners Quarterly Net Income (Millions of US $).1
2024-06-30,
2018-12-31,$155
2018-09-30,$416
2018-06-30,$349
2018-03-31,$152
2017-09-30,$357
2017-06-30,$328
2016-12-31,
2016-09-30,$365
2016-03-31,$66
2015-12-31,$156
2015-09-30,$168
2015-06-30,$176
2015-03-31,$96
2014-12-31,$112
2014-09-30,$238
2014-06-30,$198
2014-03-31,$115
2013-12-31,$135
2013-09-30,$289
2013-06-30,$182
2013-03-31,$61
2012-12-31,$100
2012-09-30,$263
2012-06-30,$205
2012-03-31,$109
2011-12-31,$113
2011-09-30,$284
2011-06-30,$246
2011-03-31,$106
2010-12-31,$97
2010-09-30,$208
2010-06-30,$199
2010-03-31,$120
2009-12-31,$91
2009-09-30,$200
2009-06-30,$313
2009-03-31,$61
