CNH Industrial Quarterly Net Income (Millions of US $),CNH Industrial Quarterly Net Income (Millions of US $).1
2024-06-30,$433
2024-03-31,$401
2023-12-31,$616
2023-09-30,$567
2023-06-30,$706
2023-03-31,$482
2022-12-31,$592
2022-09-30,$556
2022-06-30,$548
2022-03-31,$333
2021-12-31,$436
2021-09-30,$323
2021-06-30,$556
2021-03-31,$408
2020-12-31,$164
2020-09-30,$-942
2020-06-30,$350
2020-03-31,$-65
2019-12-31,$114
2019-09-30,$637
2019-06-30,$414
2019-03-31,$257
2018-12-31,$254
2018-09-30,$222
2018-06-30,$396
2018-03-31,$196
2017-12-31,$-58
2017-09-30,$56
2017-06-30,$231
2017-03-31,$43
2016-12-31,$-512
2016-09-30,$39
2016-06-30,$126
2016-03-31,$-512
2015-12-31,$231
2015-09-30,$-124
2015-06-30,$124
2015-03-31,$22
2014-12-31,$83
2014-09-30,$173
2014-06-30,$354
2014-03-31,$100
2013-12-31,
2013-09-30,$273
