CNX Resources Quarterly Net Income (Millions of US $),CNX Resources Quarterly Net Income (Millions of US $).1
2024-06-30,$-18
2024-03-31,$7
2023-12-31,$514
2023-09-30,$21
2023-06-30,$475
2023-03-31,$710
2022-12-31,"$1,175"
2022-09-30,$-427
2022-06-30,$33
2022-03-31,$-923
2021-12-31,$630
2021-09-30,$-873
2021-06-30,$-354
2021-03-31,$98
2020-12-31,$196
2020-09-30,$-205
2020-06-30,$-146
2020-03-31,$-329
2019-12-31,$-271
2019-09-30,$116
2019-06-30,$162
2019-03-31,$-87
2018-12-31,$102
2018-09-30,$125
2018-06-30,$42
2018-03-31,$528
2017-12-31,$277
2017-09-30,$-26
2017-06-30,$170
2017-03-31,$-39
2016-12-31,$-306
2016-09-30,$25
2016-06-30,$-470
2016-03-31,$-98
2015-12-31,$30
2015-09-30,$119
2015-06-30,$-603
2015-03-31,$79
2014-12-31,$74
2014-09-30,$-2
2014-06-30,$-25
2014-03-31,$116
2013-12-31,$738
2013-09-30,$-64
2013-06-30,$-13
2013-03-31,$-2
2012-12-31,$150
2012-09-30,$-11
2012-06-30,$153
2012-03-31,$97
2011-12-31,$196
2011-09-30,$167
2011-06-30,$77
2011-03-31,$192
2010-12-31,$104
2010-09-30,$75
2010-06-30,$67
2010-03-31,$100
2009-12-31,$143
2009-09-30,$87
2009-06-30,$113
2009-03-31,$196
