Crescent Energy Quarterly Net Income (Millions of US $),Crescent Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$38
2024-03-31,$-24
2023-12-31,$56
2023-09-30,$-53
2023-06-30,$5
2023-03-31,$60
2022-12-31,$9
2022-09-30,$118
2022-06-30,$55
2022-03-31,$-85
2021-12-31,
2021-09-30,$0
2021-06-30,
2021-03-31,
2020-12-31,$140
2020-09-30,$-7
2020-06-30,$-28
2020-03-31,$-105
2019-12-31,
2019-09-30,$-8
2019-06-30,$-5
2019-03-31,$-9
2018-12-31,$-34
2018-09-30,$-82
2018-06-30,$-7
2018-03-31,$1
2017-12-31,$-6
2017-09-30,$-7
2017-06-30,$-6
2017-03-31,$1
2016-12-31,$-17
2016-09-30,$-12
2016-06-30,$-17
2016-03-31,$-11
2015-12-31,$-111
2015-09-30,$-186
2015-06-30,$-20
2015-03-31,$-19
2014-12-31,$-20
2014-09-30,$4
2014-06-30,$5
2014-03-31,$-10
2013-12-31,$6
2013-09-30,$20
2013-06-30,$11
2013-03-31,$4
2012-12-31,$3
2012-09-30,$-28
2012-06-30,
2012-03-31,$15
2011-12-31,$19
2011-09-30,$15
2011-06-30,
2011-03-31,$17
2010-12-31,$12
2010-09-30,$19
2010-06-30,
2010-03-31,$2
2009-12-31,$19
2009-09-30,$13
2009-06-30,
2009-03-31,$1
