Constellium SE Quarterly Net Income (Millions of US $),Constellium SE Quarterly Net Income (Millions of US $).1
2024-06-30,$76
2024-03-31,$17
2023-12-31,$10
2023-09-30,$70
2023-06-30,$34
2023-03-31,$21
2022-12-31,$24
2022-09-30,$131
2022-06-30,$-36
2022-03-31,$199
2021-12-31,$5
2021-09-30,$114
2021-06-30,$129
2021-03-31,$55
2020-12-31,$24
2020-09-30,$22
2020-06-30,$-36
2020-03-31,$-34
2019-12-31,$22
2019-09-30,$0
2019-06-30,$18
2019-03-31,$26
2018-12-31,$-65
2018-09-30,$251
2018-06-30,$66
2018-03-31,$-30
2017-12-31,$-92
2017-09-30,$25
2017-06-30,$18
2017-03-31,$14
2016-12-31,$-23
2016-09-30,$17
2016-06-30,$10
2016-03-31,$-9
2015-12-31,$-471
2015-09-30,$-50
2015-06-30,$-52
2015-03-31,$-36
2014-12-31,$-18
2014-09-30,$14
2014-06-30,$37
2014-03-31,$40
2013-12-31,$45
2013-09-30,$60
2013-06-30,$32
2013-03-31,$-3
