Duke Energy Quarterly Net Income (Millions of US $),Duke Energy Quarterly Net Income (Millions of US $).1
2024-06-30,$886
2024-03-31,"$1,099"
2023-12-31,$991
2023-09-30,"$1,213"
2023-06-30,$-234
2023-03-31,$765
2022-12-31,$-650
2022-09-30,"$1,383"
2022-06-30,$893
2022-03-31,$818
2021-12-31,$732
2021-09-30,"$1,366"
2021-06-30,$751
2021-03-31,$953
2020-12-31,$-65
2020-09-30,"$1,265"
2020-06-30,$-829
2020-03-31,$899
2019-12-31,$660
2019-09-30,"$1,327"
2019-06-30,$820
2019-03-31,$900
2018-12-31,$464
2018-09-30,"$1,082"
2018-06-30,$500
2018-03-31,$620
2017-12-31,$703
2017-09-30,$954
2017-06-30,$686
2017-03-31,$716
2016-12-31,$-227
2016-09-30,"$1,176"
2016-06-30,$509
2016-03-31,$694
2015-12-31,$477
2015-09-30,$932
2015-06-30,$543
2015-03-31,$864
2014-12-31,$97
2014-09-30,"$1,274"
2014-06-30,$609
2014-03-31,$-97
2013-12-31,$688
2013-09-30,"$1,004"
2013-06-30,$339
2013-03-31,$634
2012-12-31,$435
2012-09-30,$594
2012-06-30,$444
2012-03-31,$295
2011-12-31,$288
2011-09-30,$472
2011-06-30,$435
2011-03-31,$511
2010-12-31,$427
2010-09-30,$670
2010-06-30,$-222
2010-03-31,$445
2009-12-31,$346
2009-09-30,$109
2009-06-30,$276
2009-03-31,$344
