Brinker Quarterly Net Income (Millions of US $),Brinker Quarterly Net Income (Millions of US $).1
2024-06-30,$57
2024-03-31,$49
2023-12-31,$42
2023-09-30,$7
2023-06-30,$54
2023-03-31,$51
2022-12-31,$28
2022-09-30,$-30
2022-06-30,$40
2022-03-31,$37
2021-12-31,$28
2021-09-30,$13
2021-06-30,$75
2021-03-31,$34
2020-12-31,$12
2020-09-30,$11
2020-06-30,$-49
2020-03-31,$31
2019-12-31,$28
2019-09-30,$15
2019-06-30,$47
2019-03-31,$50
2018-12-31,$32
2018-09-30,$26
2018-06-30,$44
2018-03-31,$47
2017-12-31,$25
2017-09-30,$10
2017-06-30,$51
2017-03-31,$42
2016-12-31,$35
2016-09-30,$23
2016-06-30,$62
2016-03-31,$58
2015-12-31,$48
2015-09-30,$33
2015-06-30,$55
2015-03-31,$65
2014-12-31,$41
2014-09-30,$33
2014-06-30,$29
2014-03-31,$56
2013-12-31,$40
2013-09-30,$29
2013-06-30,$46
2013-03-31,$52
2012-12-31,$37
2012-09-30,$28
2012-06-30,$47
2012-03-31,$45
2011-12-31,$36
2011-09-30,$24
2011-06-30,$42
2011-03-31,$40
2010-12-31,$37
2010-09-30,$21
2010-06-30,$64
2010-03-31,$40
2009-12-31,$18
2009-09-30,$16
2009-06-30,$42
2009-03-31,$35
