Employers Holdings Inc Quarterly Net Income (Millions of US $),Employers Holdings Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$32
2024-03-31,$28
2023-12-31,$46
2023-09-30,$14
2023-06-30,$35
2023-03-31,$24
2022-12-31,$47
2022-09-30,$19
2022-06-30,$-16
2022-03-31,$-2
2021-12-31,$55
2021-09-30,$15
2021-06-30,$26
2021-03-31,$23
2020-12-31,$64
2020-09-30,$31
2020-06-30,$60
2020-03-31,$-35
2019-12-31,$32
2019-09-30,$33
2019-06-30,$41
2019-03-31,$52
2018-12-31,$26
2018-09-30,$48
2018-06-30,$43
2018-03-31,$26
2017-12-31,$31
2017-09-30,$22
2017-06-30,$25
2017-03-31,$23
2016-12-31,$36
2016-09-30,$23
2016-06-30,$27
2016-03-31,$22
2015-12-31,$27
2015-09-30,$25
2015-06-30,$29
2015-03-31,$14
2014-12-31,$29
2014-09-30,$15
2014-06-30,$46
2014-03-31,$11
2013-12-31,$14
2013-09-30,$28
2013-06-30,$15
2013-03-31,$7
2012-12-31,$88
2012-09-30,$8
2012-06-30,$5
2012-03-31,$6
2011-12-31,$20
2011-09-30,$12
2011-06-30,$8
2011-03-31,$8
2010-12-31,$21
2010-09-30,$10
2010-06-30,$16
2010-03-31,$16
2009-12-31,$11
2009-09-30,$31
2009-06-30,$20
2009-03-31,$21
