Edgewell Personal Care Quarterly Net Income (Millions of US $),Edgewell Personal Care Quarterly Net Income (Millions of US $).1
2024-06-30,$49
2024-03-31,$36
2023-12-31,$5
2023-09-30,$30
2023-06-30,$53
2023-03-31,$19
2022-12-31,$12
2022-09-30,$35
2022-06-30,$31
2022-03-31,$23
2021-12-31,$11
2021-09-30,$45
2021-06-30,$41
2021-03-31,$14
2020-12-31,$18
2020-09-30,$21
2020-06-30,$5
2020-03-31,$20
2019-12-31,$22
2019-09-30,$41
2019-06-30,$-461
2019-03-31,$48
2018-12-31,$-0
2018-09-30,$19
2018-06-30,$12
2018-03-31,$65
2017-12-31,$7
2017-09-30,$-148
2017-06-30,$55
2017-03-31,$66
2016-12-31,$34
2016-09-30,$52
2016-06-30,$37
2016-03-31,$66
2015-12-31,$24
2015-09-30,$-220
2015-06-30,$-73
2015-03-31,$-88
2014-12-31,$105
2014-09-30,$85
2014-06-30,$65
2014-03-31,$99
2013-12-31,$108
2013-09-30,$105
2013-06-30,$87
2013-03-31,$85
2012-12-31,$130
2012-09-30,$117
2012-06-30,$70
2012-03-31,$78
2011-12-31,$144
2011-09-30,$46
2011-06-30,$66
2011-03-31,$39
2010-12-31,$110
2010-09-30,$85
2010-06-30,$104
2010-03-31,$89
2009-12-31,$126
2009-09-30,$37
2009-06-30,$73
2009-03-31,$77
