FB Financial Quarterly Net Income (Millions of US $),FB Financial Quarterly Net Income (Millions of US $).1
2024-09-30,$10
2024-06-30,$40
2024-03-31,$28
2023-12-31,$29
2023-09-30,$19
2023-06-30,$35
2023-03-31,$36
2022-12-31,$38
2022-09-30,$32
2022-06-30,$19
2022-03-31,$35
2021-12-31,$49
2021-09-30,$45
2021-06-30,$43
2021-03-31,$53
2020-12-31,$46
2020-09-30,$-6
2020-06-30,$23
2020-03-31,$1
2019-12-31,$21
2019-09-30,$24
2019-06-30,$19
2019-03-31,$19
2018-12-31,$17
2018-09-30,$21
2018-06-30,$22
2018-03-31,$20
2017-12-31,$23
2017-09-30,$8
2017-06-30,$11
2017-03-31,$10
2016-12-31,$9
2016-09-30,$1
2016-06-30,$16
2016-03-31,$15
2015-12-31,
2015-09-30,$16
2014-12-31,
2013-12-31,
