Fresh Del Monte Produce Quarterly Net Income (Millions of US $),Fresh Del Monte Produce Quarterly Net Income (Millions of US $).1
2024-06-30,$54
2024-03-31,$26
2023-12-31,$-107
2023-09-30,$8
2023-06-30,$48
2023-03-31,$39
2022-12-31,$18
2022-09-30,$33
2022-06-30,$21
2022-03-31,$26
2021-12-31,$-11
2021-09-30,$1
2021-06-30,$47
2021-03-31,$43
2020-12-31,$1
2020-09-30,$17
2020-06-30,$18
2020-03-31,$13
2019-12-31,$-26
2019-09-30,$18
2019-06-30,$38
2019-03-31,$36
2018-12-31,$-34
2018-09-30,$-22
2018-06-30,$-8
2018-03-31,$42
2017-12-31,$-6
2017-09-30,$12
2017-06-30,$69
2017-03-31,$46
2016-12-31,$12
2016-09-30,$35
2016-06-30,$96
2016-03-31,$82
2015-12-31,$-73
2015-09-30,$29
2015-06-30,$65
2015-03-31,$43
2014-12-31,$-0
2014-09-30,$20
2014-06-30,$64
2014-03-31,$59
2013-12-31,$-144
2013-09-30,$6
2013-06-30,$62
2013-03-31,$41
2012-12-31,$0
2012-09-30,$24
2012-06-30,$57
2012-03-31,$63
2011-12-31,$-10
2011-09-30,$12
2011-06-30,$35
2011-03-31,$55
2010-12-31,$-10
2010-09-30,$15
2010-06-30,$21
2010-03-31,$36
2009-12-31,$28
2009-09-30,$29
2009-06-30,$52
2009-03-31,$35
