Franco-Nevada Quarterly Net Income (Millions of US $),Franco-Nevada Quarterly Net Income (Millions of US $).1
2024-06-30,$80
2024-03-31,$145
2023-12-31,$-983
2023-09-30,$175
2023-06-30,$185
2023-03-31,$157
2022-12-31,$165
2022-09-30,$157
2022-06-30,$197
2022-03-31,$182
2021-12-31,$221
2021-09-30,$166
2021-06-30,$175
2021-03-31,$172
2020-12-31,$177
2020-09-30,$154
2020-06-30,$94
2020-03-31,$-99
2019-12-31,$113
2019-09-30,$102
2019-06-30,$64
2019-03-31,$65
2018-12-31,$-31
2018-09-30,$52
2018-06-30,$54
2018-03-31,$65
2017-12-31,$44
2017-09-30,$60
2017-06-30,$46
2017-03-31,$46
2016-12-31,$-5
2016-09-30,$54
2016-06-30,$42
2016-03-31,$30
2015-12-31,$-31
2015-09-30,$15
2015-06-30,$22
2015-03-31,$19
2014-12-31,$1
2014-09-30,$33
2014-06-30,$37
2014-03-31,$35
2013-12-31,$-81
2013-09-30,$35
2013-06-30,$22
2013-03-31,$35
2012-12-31,$-33
2012-09-30,$52
2012-06-30,$37
2012-03-31,$47
2011-12-31,$-105
2011-09-30,$44
2011-06-30,$33
2011-03-31,$21
2010-12-31,$17
