Freedom Holding Quarterly Net Income (Millions of US $),Freedom Holding Quarterly Net Income (Millions of US $).1
2024-06-30,$34
2024-03-31,$95
2023-12-31,$96
2023-09-30,$116
2023-06-30,$68
2023-03-31,$55
2022-12-31,$63
2022-09-30,$26
2022-06-30,$61
2022-03-31,$-89
2021-12-31,$54
2021-09-30,$207
2021-06-30,$55
2021-03-31,$60
2020-12-31,$42
2020-09-30,$24
2020-06-30,$24
2020-03-31,$3
2019-12-31,$5
2019-09-30,$9
2019-06-30,$8
2019-03-31,$3
2018-12-31,$9
2018-09-30,$2
2018-06-30,$-7
2018-03-31,$-4
2017-12-31,$-13
2017-09-30,$27
2017-06-30,$8
2017-03-31,$6
2016-12-31,$-1
2016-09-30,$2
2016-06-30,$-1
2016-03-31,$-0
2015-12-31,$-0
2015-09-30,$-0
2015-06-30,$-0
2015-03-31,$-0
2014-12-31,$-0
2014-09-30,$-0
2014-06-30,$-0
2014-03-31,$-0
2013-12-31,$-0
2013-09-30,$-1
2013-06-30,$-1
2013-03-31,$-1
2012-12-31,$-1
2012-09-30,$-1
2012-06-30,$-1
2012-03-31,$-0
2011-12-31,$-0
2011-09-30,$-143
2011-06-30,$4
2011-03-31,$3
2010-12-31,$1
2010-09-30,$-1
2010-06-30,$1
2010-03-31,$4
2009-12-31,$1
2009-09-30,$4
2009-06-30,$0
2009-03-31,$2
