Graham Holdings Quarterly Net Income (Millions of US $),Graham Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$-21
2024-03-31,$124
2023-12-31,$53
2023-09-30,$-23
2023-06-30,$123
2023-03-31,$52
2022-12-31,$6
2022-09-30,$33
2022-06-30,$-67
2022-03-31,$96
2021-12-31,$85
2021-09-30,$40
2021-06-30,$115
2021-03-31,$112
2020-12-31,$237
2020-09-30,$78
2020-06-30,$19
2020-03-31,$-33
2019-12-31,$146
2019-09-30,$43
2019-06-30,$57
2019-03-31,$82
2018-12-31,$57
2018-09-30,$125
2018-06-30,$47
2018-03-31,$43
2017-12-31,$214
2017-09-30,$25
2017-06-30,$42
2017-03-31,$21
2016-12-31,$51
2016-09-30,$33
2016-06-30,$61
2016-03-31,$24
2015-12-31,$51
2015-09-30,$-231
2015-06-30,$58
2015-03-31,$21
2014-12-31,$334
2014-09-30,$76
2014-06-30,$750
2014-03-31,$132
2013-12-31,$156
2013-09-30,$30
2013-06-30,$45
2013-03-31,$5
2012-12-31,$-45
2012-09-30,$94
2012-06-30,$52
2012-03-31,$31
2011-12-31,$62
2011-09-30,$-6
2011-06-30,$46
2011-03-31,$15
2010-12-31,$79
2010-09-30,$61
2010-06-30,$92
2010-03-31,$45
2009-12-31,$82
2009-09-30,$17
2009-06-30,$12
2009-03-31,$-19
