Gildan Activewear Quarterly Net Income (Millions of US $),Gildan Activewear Quarterly Net Income (Millions of US $).1
2024-06-30,$58
2024-03-31,$79
2023-12-31,$153
2023-09-30,$127
2023-06-30,$155
2023-03-31,$98
2022-12-31,$84
2022-09-30,$153
2022-06-30,$158
2022-03-31,$146
2021-12-31,$174
2021-09-30,$188
2021-06-30,$146
2021-03-31,$99
2020-12-31,$67
2020-09-30,$56
2020-06-30,$-250
2020-03-31,$-99
2019-12-31,$33
2019-09-30,$105
2019-06-30,$100
2019-03-31,$23
2018-12-31,$60
2018-09-30,$114
2018-06-30,$109
2018-03-31,$68
2017-12-31,$55
2017-09-30,$116
2017-06-30,$108
2017-03-31,$84
2016-12-31,$74
2016-09-30,$114
2016-06-30,$95
2016-03-31,$63
2015-12-31,$68
2015-09-30,$123
2015-06-30,$99
2015-03-31,$56
2014-12-31,$-41
2014-09-30,$123
2014-06-30,$116
2014-03-31,$79
2013-12-31,$42
2013-09-30,$97
2013-06-30,$116
2013-03-31,$72
2012-12-31,$35
2012-09-30,$89
2012-06-30,$79
2012-03-31,$27
2011-12-31,$-46
2011-09-30,$49
2011-06-30,$94
2011-03-31,$61
2010-12-31,$36
2010-09-30,$57
2010-06-30,$65
2010-03-31,$49
2009-12-31,$28
2009-09-30,$42
2009-06-30,$42
2009-03-31,$7
