Nordstrom Quarterly Net Income (Millions of US $),Nordstrom Quarterly Net Income (Millions of US $).1
2024-07-31,$122
2024-04-30,$-39
2024-01-31,$135
2023-10-31,$67
2023-07-31,$137
2023-04-30,$-205
2023-01-31,$119
2022-10-31,$-20
2022-07-31,$126
2022-04-30,$20
2022-01-31,$200
2021-10-31,$64
2021-07-31,$80
2021-04-30,$-166
2021-01-31,$33
2020-10-31,$53
2020-07-31,$-255
2020-04-30,$-521
2020-01-31,$192
2019-10-31,$126
2019-07-31,$141
2019-04-30,$37
2019-01-31,$248
2018-10-31,$67
2018-07-31,$162
2018-04-30,$87
2018-01-31,$150
2017-10-31,$114
2017-07-31,$110
2017-04-30,$63
2017-01-31,$201
2016-10-31,$-10
2016-07-31,$117
2016-04-30,$46
2016-01-31,$180
2015-10-31,$81
2015-07-31,$211
2015-04-30,$128
2015-01-31,$255
2014-10-31,$142
2014-07-31,$183
2014-04-30,$140
2014-01-31,$268
2013-10-31,$137
2013-07-31,$184
2013-04-30,$145
2013-01-31,$284
2012-10-31,$146
2012-07-31,$156
2012-04-30,$149
2012-01-31,$236
2011-10-31,$127
2011-07-31,$175
2011-04-30,$145
2011-01-31,$232
2010-10-31,$119
2010-07-31,$146
2010-04-30,$116
2010-01-31,$172
2009-10-31,$83
2009-07-31,$105
2009-04-30,$81
2009-01-31,$68
