Kronos Worldwide Inc Quarterly Net Income (Millions of US $),Kronos Worldwide Inc Quarterly Net Income (Millions of US $).1
2024-06-30,$20
2024-03-31,$8
2023-12-31,$-5
2023-09-30,$-20
2023-06-30,$-8
2023-03-31,$-15
2022-12-31,$-20
2022-09-30,$21
2022-06-30,$46
2022-03-31,$58
2021-12-31,$32
2021-09-30,$36
2021-06-30,$26
2021-03-31,$20
2020-12-31,$10
2020-09-30,$8
2020-06-30,$19
2020-03-31,$27
2019-12-31,$9
2019-09-30,$18
2019-06-30,$30
2019-03-31,$30
2018-12-31,$24
2018-09-30,$33
2018-06-30,$78
2018-03-31,$71
2017-12-31,$47
2017-09-30,$74
2017-06-30,$197
2017-03-31,$37
2016-12-31,$23
2016-09-30,$22
2016-06-30,$2
2016-03-31,$-4
2015-12-31,$-20
2015-09-30,$-12
2015-06-30,$-160
2015-03-31,$18
2014-12-31,$20
2014-09-30,$32
2014-06-30,$33
2014-03-31,$14
2013-12-31,$3
2013-09-30,$-30
2013-06-30,$-34
2013-03-31,$-41
2012-12-31,$-18
2012-09-30,$35
2012-06-30,$65
2012-03-31,$137
2011-12-31,$86
2011-09-30,$86
2011-06-30,$89
2011-03-31,$60
2010-12-31,$36
2010-09-30,$32
2010-06-30,$19
2010-03-31,$43
2009-12-31,$5
2009-09-30,$9
2009-06-30,$-22
2009-03-31,$-27
