Southwest Airlines Quarterly Net Income (Millions of US $),Southwest Airlines Quarterly Net Income (Millions of US $).1
2024-06-30,$367
2024-03-31,$-231
2023-12-31,$-252
2023-09-30,$193
2023-06-30,$683
2023-03-31,$-159
2022-12-31,$-220
2022-09-30,$277
2022-06-30,$760
2022-03-31,$-278
2021-12-31,$67
2021-09-30,$446
2021-06-30,$348
2021-03-31,$116
2020-12-31,$-908
2020-09-30,"$-1,157"
2020-06-30,$-915
2020-03-31,$-94
2019-12-31,$513
2019-09-30,$659
2019-06-30,$741
2019-03-31,$387
2018-12-31,$654
2018-09-30,$615
2018-06-30,$733
2018-03-31,$463
2017-12-31,"$1,747"
2017-09-30,$528
2017-06-30,$743
2017-03-31,$339
2016-12-31,$462
2016-09-30,$388
2016-06-30,$820
2016-03-31,$513
2015-12-31,$536
2015-09-30,$584
2015-06-30,$608
2015-03-31,$453
2014-12-31,$190
2014-09-30,$329
2014-06-30,$465
2014-03-31,$152
2013-12-31,$212
2013-09-30,$259
2013-06-30,$224
2013-03-31,$59
2012-12-31,$79
2012-09-30,$16
2012-06-30,$228
2012-03-31,$98
2011-12-31,$152
2011-09-30,$-140
2011-06-30,$161
2011-03-31,$5
2010-12-31,$131
2010-09-30,$205
2010-06-30,$112
2010-03-31,$11
2009-12-31,$115
2009-09-30,$-16
2009-06-30,$91
2009-03-31,$-91
