Mesoblast Quarterly Net Income (Millions of US $),Mesoblast Quarterly Net Income (Millions of US $).1
2023-12-31,
2023-06-30,$-22
2023-03-31,$-19
2022-12-31,$-24
2022-09-30,$-17
2022-06-30,$-21
2022-03-31,$-21
2021-12-31,$-26
2021-09-30,$-23
2021-06-30,$-22
2021-03-31,$-27
2020-12-31,$-26
2020-09-30,$-25
2020-06-30,$-33
2020-03-31,$-15
2019-12-31,$-25
2019-09-30,$-5
2019-06-30,$-21
2019-03-31,$-25
2018-12-31,$-25
2018-09-30,$-19
2018-06-30,$-21
2018-03-31,$-21
2017-12-31,$14
2017-09-30,$-7
2017-06-30,$-27
2017-03-31,$-10
2016-12-31,$-20
2016-09-30,$-20
2016-06-30,$48
2016-03-31,$-17
2015-12-31,$-22
2015-09-30,$-13
2015-06-30,
2014-12-31,$-28
2014-06-30,
2013-06-30,
2012-06-30,
2011-06-30,
