MannKind Quarterly Net Income (Millions of US $),MannKind Quarterly Net Income (Millions of US $).1
2024-06-30,$-2
2024-03-31,$11
2023-12-31,$1
2023-09-30,$2
2023-06-30,$-5
2023-03-31,$-10
2022-12-31,$-18
2022-09-30,$-14
2022-06-30,$-29
2022-03-31,$-26
2021-12-31,$-28
2021-09-30,$-4
2021-06-30,$-36
2021-03-31,$-13
2020-12-31,$-26
2020-09-30,$-11
2020-06-30,$-10
2020-03-31,$-9
2019-12-31,$-14
2019-09-30,$-10
2019-06-30,$-12
2019-03-31,$-15
2018-12-31,$-10
2018-09-30,$-24
2018-06-30,$-23
2018-03-31,$-30
2017-12-31,$-33
2017-09-30,$-33
2017-06-30,$-35
2017-03-31,$-16
2016-12-31,$54
2016-09-30,$127
2016-06-30,$-30
2016-03-31,$-25
2015-12-31,$-277
2015-09-30,$-32
2015-06-30,$-29
2015-03-31,$-31
2014-12-31,$-36
2014-09-30,$-37
2014-06-30,$-73
2014-03-31,$-52
2013-12-31,$-54
2013-09-30,$-51
2013-06-30,$-46
2013-03-31,$-41
2012-12-31,$-52
2012-09-30,$-43
2012-06-30,$-37
2012-03-31,$-38
2011-12-31,$-36
2011-09-30,$-38
2011-06-30,$-44
2011-03-31,$-42
2010-12-31,$-38
2010-09-30,$-45
2010-06-30,$-42
2010-03-31,$-45
2009-12-31,$-60
2009-09-30,$-46
2009-06-30,$-56
2009-03-31,$-59
