Mitsubishi UFJ Financial Quarterly Net Income (Millions of US $),Mitsubishi UFJ Financial Quarterly Net Income (Millions of US $).1
2024-06-30,"$3,558"
2023-12-31,
2023-06-30,"$4,076"
2022-06-30,$875
2021-06-30,"$3,486"
2020-06-30,"$1,706"
2019-06-30,"$3,559"
2018-06-30,"$2,898"
2017-06-30,"$2,601"
2016-06-30,"$1,757"
2015-06-30,"$2,278"
2014-06-30,"$2,357"
2013-06-30,"$2,578"
2013-03-31,"$3,874"
2012-12-31,"$2,976"
2012-09-30,"$1,366"
2012-06-30,"$2,340"
2012-03-31,"$2,091"
2011-12-31,"$1,573"
2011-09-30,"$2,514"
2011-06-30,"$6,007"
2011-03-31,$572
2010-12-31,"$2,393"
2010-09-30,"$2,218"
2010-06-30,"$1,813"
2010-03-31,"$1,859"
2009-12-31,$825
2009-09-30,$750
2009-06-30,$759
2009-03-31,"$-2,240"
