Norwegian Cruise Line Holdings Quarterly Net Income (Millions of US $),Norwegian Cruise Line Holdings Quarterly Net Income (Millions of US $).1
2024-06-30,$163
2024-03-31,$17
2023-12-31,$-106
2023-09-30,$346
2023-06-30,$86
2023-03-31,$-159
2022-12-31,$-482
2022-09-30,$-295
2022-06-30,$-509
2022-03-31,$-983
2021-12-31,"$-1,573"
2021-09-30,$-846
2021-06-30,$-718
2021-03-31,"$-1,370"
2020-12-31,$-739
2020-09-30,$-677
2020-06-30,$-715
2020-03-31,"$-1,881"
2019-12-31,$121
2019-09-30,$451
2019-06-30,$240
2019-03-31,$118
2018-12-31,$155
2018-09-30,$470
2018-06-30,$227
2018-03-31,$103
2017-12-31,$99
2017-09-30,$401
2017-06-30,$198
2017-03-31,$62
2016-12-31,$72
2016-09-30,$342
2016-06-30,$145
2016-03-31,$73
2015-12-31,$38
2015-09-30,$252
2015-06-30,$158
2015-03-31,$-21
2014-12-31,$-26
2014-09-30,$201
2014-06-30,$112
2014-03-31,$51
2013-12-31,$36
2013-09-30,$171
2013-06-30,$-9
2013-03-31,$-96
2012-12-31,$1
2012-09-30,$128
2012-06-30,$36
2012-03-31,$3
2011-12-31,$-2
2011-09-30,$108
2011-06-30,$29
2011-03-31,$-8
2010-12-31,
