Phathom Pharmaceuticals Quarterly Net Income (Millions of US $),Phathom Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-06-30,$-91
2024-03-31,$-83
2023-12-31,$-80
2023-09-30,$-43
2023-06-30,$-41
2023-03-31,$-38
2022-12-31,$-55
2022-09-30,$-51
2022-06-30,$-51
2022-03-31,$-41
2021-12-31,$-36
2021-09-30,$-37
2021-06-30,$-37
2021-03-31,$-35
2020-12-31,$-54
2020-09-30,$-34
2020-06-30,$-21
2020-03-31,$-20
2019-12-31,$-98
2019-09-30,$-68
2019-06-30,$-88
2019-03-31,$-1
2018-12-31,
2018-09-30,$-0
