Koninklijke Philips Quarterly Net Income (Millions of US $),Koninklijke Philips Quarterly Net Income (Millions of US $).1
2024-06-30,$486
2023-09-30,$96
2023-06-30,$79
2023-03-31,$-714
2022-06-30,$-23
2021-06-30,$181
2020-06-30,$229
2019-06-30,$273
2018-06-30,$1
2017-06-30,$275
2016-12-31,$680
2016-09-30,$413
2016-06-30,$475
2016-03-31,$35
2015-12-31,$-51
2015-09-30,$355
2015-06-30,$301
2015-03-31,$112
2014-12-31,$169
2014-09-30,$-138
2014-06-30,$332
2014-03-31,$189
2013-12-31,$553
2013-09-30,$374
2013-06-30,$414
2013-03-31,$213
2012-12-31,$-482
2012-09-30,$221
2012-06-30,$204
2012-03-31,$326
2011-12-31,$-212
2011-09-30,$102
2011-06-30,"$-1,934"
2011-03-31,$198
2010-12-31,$630
2010-09-30,$676
2010-06-30,$331
2010-03-31,$277
2009-12-31,$384
2009-09-30,$254
2009-06-30,$64
2009-03-31,$-75
