Resideo Technologies Quarterly Net Income (Millions of US $),Resideo Technologies Quarterly Net Income (Millions of US $).1
2024-06-30,$28
2024-03-31,$43
2023-12-31,$82
2023-09-30,$21
2023-06-30,$50
2023-03-31,$57
2022-12-31,$39
2022-09-30,$63
2022-06-30,$94
2022-03-31,$87
2021-12-31,$67
2021-09-30,$68
2021-06-30,$58
2021-03-31,$49
2020-12-31,$59
2020-09-30,$75
2020-06-30,$-76
2020-03-31,$-21
2019-12-31,$-9
2019-09-30,$8
2019-06-30,$-11
2019-03-31,$48
2018-12-31,$16
2018-09-30,$311
2018-06-30,$33
2018-03-31,$45
2017-12-31,
2017-09-30,$23
2016-12-31,
