Star Bulk Carriers Quarterly Net Income (Millions of US $),Star Bulk Carriers Quarterly Net Income (Millions of US $).1
2024-06-30,$106
2024-03-31,$75
2023-12-31,$40
2023-09-30,$44
2023-06-30,$44
2023-03-31,$46
2022-12-31,$86
2022-09-30,$110
2022-06-30,$200
2022-03-31,$170
2021-12-31,$300
2021-09-30,$220
2021-06-30,$124
2021-03-31,$36
2020-12-31,$28
2020-09-30,$23
2020-06-30,$-44
2020-03-31,$3
2019-12-31,$23
2019-09-30,$6
2019-06-30,$-40
2019-03-31,$-5
2018-12-31,$12
2018-09-30,$26
2018-06-30,$11
2018-03-31,$10
2017-12-31,$24
2017-09-30,$-7
2017-06-30,$-10
2017-03-31,$-16
2016-12-31,$-33
2016-09-30,$-39
2016-06-30,$-33
2016-03-31,$-49
2015-12-31,
2015-09-30,$-42
2015-03-31,$-40
2014-12-31,$-8
2014-09-30,$0
2014-06-30,$-3
2014-03-31,$-1
2013-12-31,$0
2013-09-30,$-0
2013-06-30,$1
2013-03-31,$1
2012-12-31,$-1
2012-09-30,$-309
2012-06-30,$-5
2012-03-31,$0
2011-12-31,$-70
2011-09-30,$-3
2011-06-30,$2
2011-03-31,$2
2010-12-31,$21
2010-09-30,$1
2010-06-30,$6
2010-03-31,$-33
2009-12-31,$-5
2009-09-30,$-73
2009-06-30,$-3
2009-03-31,$22
