Seaboard Quarterly Net Income (Millions of US $),Seaboard Quarterly Net Income (Millions of US $).1
2024-06-30,$61
2024-03-31,$22
2023-12-31,$64
2023-09-30,$126
2023-06-30,$52
2023-03-31,$-16
2022-12-31,$223
2022-09-30,$146
2022-06-30,$108
2022-03-31,$103
2021-12-31,$121
2021-09-30,$94
2021-06-30,$176
2021-03-31,$179
2020-12-31,$259
2020-09-30,$154
2020-06-30,$-27
2020-03-31,$-103
2019-12-31,$179
2019-09-30,$-7
2019-06-30,$58
2019-03-31,$57
2018-12-31,$-71
2018-09-30,$35
2018-06-30,$7
2018-03-31,$32
2017-12-31,$23
2017-09-30,$81
2017-06-30,$58
2017-03-31,$85
2016-12-31,$103
2016-09-30,$75
2016-06-30,$80
2016-03-31,$54
2015-12-31,$103
2015-09-30,$3
2015-06-30,$32
2015-03-31,$33
2014-12-31,$120
2014-09-30,$105
2014-06-30,$94
2014-03-31,$48
2013-12-31,$84
2013-09-30,$31
2013-06-30,$40
2013-03-31,$57
2012-12-31,$76
2012-09-30,$74
2012-06-30,$50
2012-03-31,$82
2011-12-31,$79
2011-09-30,$37
2011-06-30,$113
2011-03-31,$117
2010-12-31,$103
2010-09-30,$40
2010-06-30,$78
2010-03-31,$63
2009-12-31,$13
2009-09-30,$37
2009-06-30,$27
2009-03-31,$16
